ranking,full name,ceo,sector,industry,hq location,hq address,website
155,Icahn Enterprises L.P.,Keith Cozza,Energy,Petroleum Refining,"New York, NY",767 Fifth Ave.,http://www.ielp.com
156,"AutoNation, Inc.",Michael J. Jackson,Retailing,"Automotive Retailing, Services","Fort Lauderdale, FL",200 S.W. First Ave.,http://www.autonation.com
157,Kohl's Corporation,Kevin Mansell,Retailing,General Merchandisers,"Menomonee Falls, WI",N56 W17000 Ridgewood Dr.,http://www.kohlscorporation.com
158,PACCAR Inc,Ronald E. Armstrong,Motor Vehicles & Parts,Motor Vehicles and Parts,"Bellevue, WA",777 106th Ave. N.E.,http://www.paccar.com
159,Dollar General Corporation,Todd J. Vasos,Retailing,General Merchandisers,"Goodlettsville, TN",100 Mission Ridge,http://www.dollargeneral.com
160,"The Hartford Financial Services Group, Inc.",Christopher J. Swift,Financials,Insurance: Property and Casualty (Stock),"Hartford, CT",1 Hartford Plaza,http://www.thehartford.com
161,Southwest Airlines Co.,Gary C. Kelly,Transportation,Airlines,"Dallas, TX",2702 Love Field Dr.,http://www.southwest.com
162,Anadarko Petroleum Corporation,R. A. Walker,Energy,"Mining, Crude-Oil Production","The Woodlands, TX",1201 Lake Robbins Dr.,http://www.anadarko.com
163,The Southern Company,Thomas A. Fanning,Energy,Utilities: Gas and Electric,"Atlanta, GA",30 Ivan Allen Jr. Blvd. N.W.,http://www.southerncompany.com
164,Supervalu Inc.,Mark Gross,Food & Drug Stores,Food and Drug Stores,"Eden Prairie, MN",11840 Valley View Rd.,http://www.supervalu.com
165,"Kraft Foods Group, Inc.",John T. Cahill,"Food, Beverages & Tobacco",Food Consumer Products,"Northfield, IL",3 Lakes Dr.,http://www.kraftfoodsgroup.com
166,The Goodyear Tire & Rubber Company,Richard J. Kramer,Motor Vehicles & Parts,Motor Vehicles and Parts,"Akron, OH",200 Innovation Way,http://www.goodyear.com
167,"EOG Resources, Inc.",William R. Thomas,Energy,"Mining, Crude-Oil Production","Houston, TX",1111 Bagby St.,http://www.eogresources.com
168,"CenturyLink, Inc.",Glen F. Post III,Telecommunications,Telecommunications,"Monroe, LA",100 CenturyLink Dr.,http://www.centurylink.com
169,"Altria Group, Inc.",Martin J. Barrington,"Food, Beverages & Tobacco",Tobacco,"Richmond, VA",6601 W. Broad St.,http://www.altria.com
170,Tenet Healthcare Corporation,Trevor Fetter,Health Care,Health Care: Medical Facilities,"Dallas, TX",1445 Ross Ave.,http://www.tenethealth.com
171,"General Mills, Inc.",Kendall J. Powell,"Food, Beverages & Tobacco",Food Consumer Products,"Minneapolis, MN",1 General Mills Blvd.,http://www.generalmills.com
172,eBay Inc.,Devin N. Wenig,Technology,Internet Services and Retailing,"San Jose, CA",2065 Hamilton Ave.,http://www.ebay.com
173,"ConAgra Foods, Inc.",Sean M. Connolly,"Food, Beverages & Tobacco",Food Consumer Products,"Omaha, NE",1 ConAgra Dr.,http://www.conagrafoods.com
174,Lear Corporation,Matthew J. Simoncini,Motor Vehicles & Parts,Motor Vehicles and Parts,"Southfield, MI",21557 Telegraph Rd.,http://www.lear.com
175,TRW Automotive Holdings Corp.,John C. Plant,Motor Vehicles & Parts,Motor Vehicles and Parts,"Livonia, MI",12001 Tech Center Dr.,http://www.trw.com
176,United States Steel Corporation,Mario Longhi,Materials,Metals,"Pittsburgh, PA",600 Grant St.,http://www.ussteel.com
177,"Penske Automotive Group, Inc.",Roger S. Penske,Retailing,"Automotive Retailing, Services","Bloomfield Hills, MI",2555 Telegraph Rd.,http://www.penskeautomotive.com
178,The AES Corporation,Andres R. Gluski,Energy,Utilities: Gas and Electric,"Arlington, VA",4300 Wilson Blvd.,http://www.aes.com
179,Colgate-Palmolive Company,Ian M. Cook,Household Products,Household and Personal Products,"New York, NY",300 Park Ave.,http://www.colgatepalmolive.com
180,Global Partners LP,Eric Slifka,Wholesalers,Wholesalers: Diversified,"Waltham, MA",800 South St.,http://www.globalp.com
181,Thermo Fisher Scientific Inc.,Marc N. Casper,Technology,"Scientific,Photographic and Control Equipment","Waltham, MA",81 Wyman St.,http://www.thermofisher.com
182,PG&E Corporation,Anthony F. Earley Jr.,Energy,Utilities: Gas and Electric,"San Francisco, CA",77 Beale St.,http://www.pge.com
183,"NextEra Energy, Inc.",James L. Robo,Energy,Utilities: Gas and Electric,"Juno Beach, FL",700 Universe Blvd.,http://www.nexteraenergy.com
184,"American Electric Power Company, Inc.",Nicholas K. Akins,Energy,Utilities: Gas and Electric,"Columbus, OH",1 Riverside Plaza,http://www.aep.com
185,Baxter International Inc.,José Almeida,Health Care,Medical Products and Equipment,"Deerfield, IL",1 Baxter Pkwy.,http://www.baxter.com
186,Centene Corporation,Michael F. Neidorff,Health Care,Health Care: Insurance and Managed Care,"St. Louis, MO",7700 Forsyth Blvd.,http://www.centene.com
187,Starbucks Corporation,Howard D. Schultz,"Hotels, Resturants & Leisure",Food Services,"Seattle, WA",2401 Utah Ave. S.,http://www.starbucks.com
188,"The Gap, Inc.",Arthur L. Peck,Retailing,Specialty Retailers: Apparel,"San Francisco, CA",2 Folsom St.,http://www.gapinc.com
189,The Bank of New York Mellon Corporation,Gerald L. Hassell,Financials,Commercial Banks,"New York, NY",1 Wall St.,http://www.bnymellon.com
190,"Micron Technology, Inc.",D. Mark Durcan,Technology,Semiconductors and Other Electronic Components,"Boise, ID",8000 S. Federal Way,http://www.micron.com
191,"Jabil Circuit, Inc.",Mark T. Mondello,Technology,Semiconductors and Other Electronic Components,"St. Petersburg, FL",10560 Dr. Martin Luther King Jr. St. N.,http://www.jabil.com
192,"The PNC Financial Services Group, Inc.",William S. Demchak,Financials,Commercial Banks,"Pittsburgh, PA",249 Fifth Ave.,http://www.pnc.com
193,"Kinder Morgan, Inc.",Steven J. Kean,Energy,Pipelines,"Houston, TX",1001 Louisiana St.,http://www.kindermorgan.com
194,"Office Depot, Inc.",Roland C. Smith,Retailing,Specialty Retailers: Other,"Boca Raton, FL",6600 N. Military Trail,http://www.officedepot.com
195,Bristol-Myers Squibb Company,Giovanni Caforio,Health Care,Pharmaceuticals,"New York, NY",345 Park Ave.,http://www.bms.com
196,"NRG Energy, Inc.",Mauricio Gutierrez,Energy,Energy,"Princeton, NJ",211 Carnegie Center,http://www.nrgenergy.com
197,Monsanto Company,Hugh Grant,Chemicals,Chemicals,"St. Louis, MO",800 N. Lindbergh Blvd.,http://www.monsanto.com
198,"PPG Industries, Inc.",Michael H. McGarry,Chemicals,Chemicals,"Pittsburgh, PA",1 PPG Place,http://www.ppg.com
199,Genuine Parts Company,Thomas C. Gallagher,Wholesalers,Wholesalers: Diversified,"Atlanta, GA",2999 Circle 75 Pkwy.,http://www.genpt.com
200,Omnicom Group Inc.,John D. Wren,Business Services,"Advertising, marketing","New York, NY",437 Madison Ave.,http://www.omnicomgroup.com
201,Illinois Tool Works Inc.,E. Scott Santi,Industrials,Industrial Machinery,"Glenview, IL",155 Harlem Ave.,http://www.itw.com
202,Murphy USA Inc.,R. Andrew Clyde,Retailing,Specialty Retailers: Other,"El Dorado, AR",200 Peach St.,http://corporate.murphyusa.com
203,"Land O'Lakes, Inc.",Christopher J. Policinski,"Food, Beverages & Tobacco",Food Consumer Products,"Arden Hills, MN",4001 Lexington Ave. N.,http://www.landolakesinc.com
204,"Western Refining, Inc.",Jeff A. Stevens,Energy,Petroleum Refining,"El Paso, TX",123 W. Mills Ave.,http://www.wnr.com
205,Western Digital Corporation,Stephen D. Milligan,Technology,Computer Peripherals,"Irvine, CA",3355 Michelson Dr.,http://www.westerndigital.com
206,FirstEnergy Corp.,Charles E. Jones,Energy,Utilities: Gas and Electric,"Akron, OH",76 S. Main St.,http://www.firstenergycorp.com
207,Aramark,Eric J. Foss,Business Services,Diversified Outsourcing Services,"Philadelphia, PA",1101 Market St.,http://www.aramark.com
208,DISH Network Corporation,Charles W. Ergen,Telecommunications,Telecommunications,"Englewood, CO",9601 S. Meridian Blvd.,http://www.dish.com
209,Las Vegas Sands Corp.,Sheldon G. Adelson,"Hotels, Resturants & Leisure","Hotels, Casinos, Resorts","Las Vegas, NV",3355 Las Vegas Blvd. S.,http://www.sands.com
