Rank,Title,Previous Rank,CEO,Address,Website
1,"Wal-Mart Stores, Inc.",2,Michael T. Duke,"702 S.W. Eighth St., Bentonville, AR 72716",www.corporate.walmart.com
2,Exxon Mobil Corporation,1,Rex W. Tillerson,"5959 Las Colinas Blvd., Irving, TX 75039",www.exxonmobil.com
3,Chevron Corporation,3,John S. Watson,"6001 Bollinger Canyon Rd., San Ramon, CA 94583",www.chevron.com
4,General Electric Company,5,Jeffrey R. Immelt,"3135 Easton Turnpike, Fairfield, CT 6828",www.ge.com
5,Bank of America Corporation,11,Brian T. Moynihan,"100 N. Tryon St., Charlotte, NC 28255",www.bankofamerica.com
6,ConocoPhillips,4,James J. Mulva,"600 N. Dairy Ashford Rd., Houston, TX 77079",www.conocophillips.com
7,AT&T Inc.,8,Randall L. Stephenson,"208 S. Akard St., Dallas, TX 75202",www.att.com
8,Ford Motor Company,7,Alan R. Mulally,"1 American Rd., Dearborn, MI 48126",www.ford.com
9,J.P. Morgan Chase & Co.,16,James Dimon,"270 Park Ave., New York, NY 10017",www.jpmorganchase.com
10,Hewlett-Packard Company,9,Mark V. Hurd,"3000 Hanover St., Palo Alto, CA 94304",www.hp.com
11,Berkshire Hathaway Inc.,13,Warren E. Buffett,"3555 Farnam St., Omaha, NE 68131",www.berkshirehathaway.com
12,"Citigroup, Inc.",12,Vikram S. Pandit,"399 Park Ave., New York, NY 10043",www.citigroup.com
13,Verizon Communications Inc.,17,Ivan G. Seidenberg,"140 West St., New York, NY 10007",www.verizon.com
14,McKesson Corporation,15,John H. Hammergren,"1 Post St., San Francisco, CA 94104",www.mckesson.com
15,General Motors Corporation,6,Edward E. Whitacre Jr.,"300 Renaissance Center, Detroit, MI 48265",www.gm.com
16,"American International Group,Inc.",245,Robert Benmosche,"70 Pine St., New York, NY 10270",www.aig.com
17,"Cardinal Health, Inc.",18,George S. Barrett,"7000 Cardinal Place, Dublin, OH 43017",www.cardinal.com
