Rank,Title,Previous Rank,CEO,Address,Website
1,"Wal-Mart Stores, Inc.",1,H. Lee Scott Jr.,"702 S.W. Eighth St., Bentonville, AR 72716",www.corporate.walmart.com
2,Exxon Mobil Corporation,2,Rex W. Tillerson,"5959 Las Colinas Blvd., Irving, TX 75039",www.exxonmobil.com
3,Chevron Corporation,4,David J. O'Reilly,"6001 Bollinger Canyon Rd., San Ramon, CA 94583",www.chevron.com
4,General Motors Corporation,3,G. Richard Wagoner Jr.,"300 Renaissance Center, Detroit, MI 48265",www.gm.com
5,ConocoPhillips,5,James J. Mulva,"600 N. Dairy Ashford Rd., Houston, TX 77079",www.conocophillips.com
6,General Electric Company,6,Jeffrey R. Immelt,"3135 Easton Turnpike, Fairfield, CT 6828",www.ge.com
7,Ford Motor Company,7,Alan R. Mulally,"1 American Rd., Dearborn, MI 48126",www.ford.com
8,"Citigroup, Inc.",8,Vikram S. Pandit,"399 Park Ave., New York, NY 10043",www.citigroup.com
9,Bank of America Corporation,9,Kenneth D. Lewis,"100 N. Tryon St., Charlotte, NC 28255",www.bankofamerica.com
10,AT&T Inc.,27,Randall L. Stephenson,"175 E. Houston St., San Antonio, TX 78205",www.att.com
11,Berkshire Hathaway Inc.,12,Warren E. Buffett,"1440 Kiewit Plaza, Omaha, NE 68131",www.berkshirehathaway.com
12,J.P. Morgan Chase & Co.,11,James Dimon,"270 Park Ave., New York, NY 10017",www.jpmorganchase.com
13,"American International Group,Inc.",10,Martin J. Sullivan,"70 Pine St., New York, NY 10270",www.aig.com
14,Hewlett-Packard Company,14,Mark V. Hurd,"3000 Hanover St., Palo Alto, CA 94304",www.hp.com
15,International Business Machines Corporation,15,Samuel J. Palmisano,"1 New Orchard Rd., Armonk, NY 10504",www.ibm.com
16,Valero Energy Corporation,16,William R. Klesse,"1 Valero Way, San Antonio, TX 78249",www.valero.com
17,Verizon Communications Inc.,13,Ivan G. Seidenberg,"140 West St., New York, NY 10007",www.verizon.com
18,McKesson Corporation,18,John H. Hammergren,"1 Post St., San Francisco, CA 94104",www.mckesson.com
19,"Cardinal Health, Inc.",19,R. Kerry Clark,"7000 Cardinal Place, Dublin, OH 43017",www.cardinal.com
20,"The Goldman Sachs Group, Inc.",24,Lloyd C. Blankfein,"85 Broad St., New York, NY 10004",www.gs.com
21,Morgan Stanley,20,John J. Mack,"1585 Broadway, New York, NY 10036",www.morganstanley.com
22,"The Home Depot, Inc.",17,Francis S. Blake,"2455 Paces Ferry Rd. N.W., Atlanta, GA 30339",www.homedepot.com
23,The Procter & Gamble Company,25,Alan G. Lafley,"1 Procter & Gamble Plaza, Cincinnati, OH 45202",www.pg.com
24,CVS Caremark Corporation,51,Thomas M. Ryan,"1 CVS Dr., Woonsocket, RI 2895",info.cvscaremark.com
25,UnitedHealth Group Incorporated,21,Stephen J. Hemsley,"9900 Bren Rd. E., Minnetonka, MN 55343",www.unitedhealthgroup.com
26,The Kroger Company,26,David B. Dillon,"1014 Vine St., Cincinnati, OH 45202",www.thekrogerco.com
27,The Boeing Company,28,W. James McNerney Jr.,"100 N. Riverside Plaza, Chicago, IL 60606",www.boeing.com
28,AmerisourceBergen Corp.,29,R. David Yost,"1300 Morris Dr., Chesterbrook, PA 19087",www.amerisourcebergen.com
29,Costco Wholesale Corporation,32,James D. Sinegal,"999 Lake Dr., Issaquah, WA 98027",www.costco.com
30,"Merrill Lynch & Co., Inc.",22,John A. Thain,"4 World Financial Center, New York, NY 10080",www.ml.com
31,Target Corporation,33,Gregg Steinhafel,"1000 Nicollet Mall, Minneapolis, MN 55403",www.target.com
32,State Farm Insurance Cos.,31,Edward B. Rust Jr.,"1 State Farm Plaza, Bloomington, IL 61710",www.statefarm.com
33,"WellPoint, Inc.",35,Angela F. Braly,"120 Monument Circle, Indianapolis, IN 46204",www.wellpoint.com
34,Dell Inc.,34,Michael S. Dell,"1 Dell Way, Round Rock, TX 78682",www.dell.com
35,Johnson & Johnson,36,William C. Weldon,"1 Johnson & Johnson Plaza, New Brunswick, NJ 8933",www.jnj.com
36,Marathon Oil Corporation,30,Clarence P. Cazalot Jr.,"5555 San Felipe Rd., Houston, TX 77056",www.marathonoil.com
37,"Lehman Brothers Holdings, Inc.",47,Richard S. Fuld Jr.,"745 Seventh Ave., New York, NY 10019",www.lehman.com
38,Wachovia Corporation,46,G. Kennedy Thompson,"1 Wachovia Center, Charlotte, NC 28288",www.wachovia.com
39,United Technologies Corporation,42,-,"1 Financial Plaza, Hartford, CT 6103",www.utc.com
40,Walgreen Co.,44,Jeffrey A. Rein,"200 Wilmot Rd., Deerfield, IL 60015",www.walgreens.com
41,Wells Fargo & Company,41,John G. Stumpf,"420 Montgomery St., San Francisco, CA 94163",www.wellsfargo.com
42,The Dow Chemical Company,40,Andrew N. Liveris,"2030 Dow Center, Midland, MI 48674",www.dow.com
43,"MetLife, Inc.",37,C. Robert Henrikson,"200 Park Ave., New York, NY 10166",www.metlife.com
44,Microsoft Corporation,49,Steven A. Ballmer,"1 Microsoft Way, Redmond, WA 98052",www.microsoft.com
45,Sears Holdings Corporation,38,W. Bruce Johnson,"3333 Beverly Rd., Hoffman Estates, IL 60179",www.searsholdings.com
46,"United Parcel Service, Inc.",43,D. Scott Davis,"55 Glenlake Pkwy. N.E., Atlanta, GA 30328",www.ups.com
47,Pfizer Inc.,39,Jeffrey B. Kindler,"235 E. 42nd St., New York, NY 10017",www.pfizer.com
48,"Lowe’s Companies, Inc.",45,Robert A. Niblock,"1000 Lowe's Blvd., Mooresville, NC 28117",www.lowes.com
49,Time Warner Inc.,48,Jeffrey L. Bewkes,"1 Time Warner Center, New York, NY 10019",www.timewarner.com
50,"Caterpillar, Inc.",55,James W. Owens,"100 N.E. Adams St., Peoria, IL 61629",www.caterpillar.com
51,"Medco Health Solutions, Inc.",54,David B. Snow Jr.,"100 Parsons Pond Dr., Franklin Lakes, NJ 7417",www.express-scripts.com
52,Archer-Daniels-Midland Company,59,Patricia A. Woertz,"4666 Faries Pkwy., Decatur, IL 62525",www.adm.com
53,Fannie Mae,-,Daniel H. Mudd,"3900 Wisconsin Ave. N.W., Washington, DC 20016",www.fanniemae.com
54,Freddie Mac,50,Richard F. Syron,"8200 Jones Branch Dr., McLean, VA 22102",www.freddiemac.com
55,Safeway Inc.,56,Steven A. Burd,"5918 Stoneridge Mall Rd., Pleasanton, CA 94588",www.safeway.com
56,"Sunoco, Inc.",60,John G. Drosdick,"1735 Market St., Philadelphia, PA 19103",www.sunocoinc.com
57,Lockheed Martin Corporation,57,Robert J. Stevens,"6801 Rockledge Dr., Bethesda, MD 20817",www.lockheedmartin.com
58,Sprint Nextel Corporation,53,Daniel R. Hesse,"6200 Sprint Pkwy., Overland Park, KS 66251",www.sprint.com
59,"PepsiCo, Inc.",63,Indra K. Nooyi,"700 Anderson Hill Rd., Purchase, NY 10577",www.pepsico.com
60,Intel Corporation,62,Paul S. Otellini,"2200 Mission College Blvd., Santa Clara, CA 95054",www.intel.com
61,"Altria Group, Inc.",23,Michael E. Syzmanczyk,"6601 W. Broad St., Richmond, VA 23230",www.altria.com
62,Supervalu Inc.,117,Jeffrey Noddle,"11840 Valley View Rd., Eden Prairie, MN 55344",www.supervalu.com
63,Kraft Foods Inc.,-,Irene B. Rosenfeld,"3 Lakes Dr., Northfield, IL 60093",www.mondelezinternational.com
64,The Allstate Corporation,61,Thomas J. Wilson,"2775 Sanders Rd., Northbrook, IL 60062",www.allstate.com
65,"Motorola, Inc.",52,Gregory Q. Brown,"1303 E. Algonquin Rd., Schaumburg, IL 60196",www.motorolasolutions.com
66,Best Buy Co. Inc.,72,Bradbury H. Anderson,"7601 Penn Ave. S., Richfield, MN 55423",www.bestbuy.com
67,The Walt Disney Company,64,Robert A. Iger,"500 S. Buena Vista St., Burbank, CA 91521",www.disney.com
68,FedEx Corporation,68,Frederick W. Smith,"942 S. Shady Grove Rd., Memphis, TN 38120",www.fedex.com
69,Ingram Micro Inc.,70,Gregory M.E. Spierkel,"1600 E. St. Andrew Place, Santa Ana, CA 92705",www.ingrammicro.com
70,Sysco Corporation,65,Richard J. Schnieders,"1390 Enclave Pkwy., Houston, TX 77077",www.sysco.com
71,"Cisco Systems, Inc.",77,John T. Chambers,"170 W. Tasman Dr., San Jose, CA 95134",www.cisco.com
72,"Johnson Controls, Inc.",67,Stephen A. Roell,"5757 N. Green Bay Ave., Milwaukee, WI 53201",www.johnsoncontrols.com
73,Honeywell International Inc.,69,David M. Cote,"101 Columbia Rd., Morris Township, NJ 7962",www.honeywell.com
74,"Prudential Financial, Inc.",66,John R. Strangfeld Jr.,"751 Broad St., Newark, NJ 7102",www.prudential.com
75,American Express Company,79,Kenneth I. Chenault,"200 Vesey St., New York, NY 10285",www.americanexpress.com
76,Northrop Grumman Corporation,73,Ronald D. Sugar,"1840 Century Park E., Los Angeles, CA 90067",www.northropgrumman.com
77,Hess Corp.,75,John B. Hess,"1185 Ave. of the Americas, New York, NY 10036",www.hess.com
78,GMAC LLC,-,Alvero G. de Molina,"200 Renaissance Center , Detroit, MI 48265",www.ally.com
79,Comcast Corporation,84,Brian L. Roberts,"1 Comcast Center, Philadelphia, PA 19103",www.comcastcorporation.com
80,"Alcoa, Inc.",71,Alain J.P. Belda,"390 Park Ave., New York, NY 10022",www.alcoa.com
81,E.I. du Pont de Nemours and Company,74,Charles O. Holliday Jr.,"1007 Market St., Wilmington, DE 19898",www.dupont.com
82,New York Life Insurance Company,78,Seymour G. Sternberg,"51 Madison Ave., New York, NY 10010",www.newyorklife.com
