Rank,Title,Previous Rank,CEO,Address,Website
1,Exxon Mobil Corporation,2,Rex W. Tillerson,"5959 Las Colinas Blvd., Irving, TX 75039",www.exxonmobil.com
2,"Wal-Mart Stores, Inc.",1,Michael T. Duke,"702 S.W. Eighth St., Bentonville, AR 72716",www.corporate.walmart.com
3,Chevron Corporation,3,David J. O'Reilly,"6001 Bollinger Canyon Rd., San Ramon, CA 94583",www.chevron.com
4,ConocoPhillips,5,James J. Mulva,"600 N. Dairy Ashford Rd., Houston, TX 77079",www.conocophillips.com
5,General Electric Company,6,Jeffrey R. Immelt,"3135 Easton Turnpike, Fairfield, CT 6828",www.ge.com
6,General Motors Corporation,4,Frederick Henderson,"300 Renaissance Center, Detroit, MI 48265",www.gm.com
7,Ford Motor Company,7,Alan R. Mulally,"1 American Rd., Dearborn, MI 48126",www.ford.com
8,AT&T Inc.,10,Randall L. Stephenson,"208 S. Akard St., Dallas, TX 75202",www.att.com
9,Hewlett-Packard Company,14,Mark V. Hurd,"3000 Hanover St., Palo Alto, CA 94304",www.hp.com
10,Valero Energy Corporation,16,William R. Klesse,"1 Valero Way, San Antonio, TX 78249",www.valero.com
11,Bank of America Corporation,9,Kenneth D. Lewis,"100 N. Tryon St., Charlotte, NC 28255",www.bankofamerica.com
12,"Citigroup, Inc.",8,Vikram S. Pandit,"399 Park Ave., New York, NY 10022",www.citigroup.com
13,Berkshire Hathaway Inc.,11,Warren E. Buffett,"3555 Farnam St., Omaha, NE 68131",www.berkshirehathaway.com
14,International Business Machines Corporation,15,Samuel J. Palmisano,"1 New Orchard Rd., Armonk, NY 10504",www.ibm.com
15,McKesson Corporation,18,John H. Hammergren,"1 Post St., San Francisco, CA 94104",www.mckesson.com
16,J.P. Morgan Chase & Co.,12,James Dimon,"270 Park Ave., New York, NY 10017",www.jpmorganchase.com
17,Verizon Communications Inc.,17,Ivan G. Seidenberg,"140 West St., New York, NY 10007",www.verizon.com
18,"Cardinal Health, Inc.",19,R. Kerry Clark,"7000 Cardinal Place, Dublin, OH 43017",www.cardinal.com
19,CVS Caremark Corporation,24,Thomas M. Ryan,"1 CVS Dr., Woonsocket, RI 2895",info.cvscaremark.com
20,The Procter & Gamble Company,23,Alan G. Lafley,"1 Procter & Gamble Plaza, Cincinnati, OH 45202",www.pg.com
21,UnitedHealth Group Incorporated,25,Stephen J. Hemsley,"9900 Bren Rd. E., Minnetonka, MN 55343",www.unitedhealthgroup.com
22,The Kroger Company,26,David B. Dillon,"1014 Vine St., Cincinnati, OH 45202",www.thekrogerco.com
23,Marathon Oil Corporation,36,Clarence P. Cazalot Jr.,"5555 San Felipe Rd., Houston, TX 77056",www.marathonoil.com
24,Costco Wholesale Corporation,29,James D. Sinegal,"999 Lake Dr., Issaquah, WA 98027",www.costco.com
25,"The Home Depot, Inc.",22,Francis S. Blake,"2455 Paces Ferry Rd. N.W., Atlanta, GA 30339",www.homedepot.com
26,AmerisourceBergen Corp.,28,R. David Yost,"1300 Morris Dr., Chesterbrook, PA 19087",www.amerisourcebergen.com
27,Archer-Daniels-Midland Company,52,Patricia A. Woertz,"4666 Faries Pkwy., Decatur, IL 62525",www.adm.com
28,Target Corporation,31,Gregg W. Steinhafel,"1000 Nicollet Mall, Minneapolis, MN 55403",www.target.com
29,Johnson & Johnson,35,William C. Weldon,"1 Johnson & Johnson Plaza, New Brunswick, NJ 8933",www.jnj.com
30,Morgan Stanley,21,John J. Mack,"1585 Broadway, New York, NY 10036",www.morganstanley.com
31,State Farm Insurance Cos.,32,Edward B. Rust Jr.,"1 State Farm Plaza, Bloomington, IL 61710",www.statefarm.com
32,"WellPoint, Inc.",33,Angela F. Braly,"120 Monument Circle, Indianapolis, IN 46204",www.wellpoint.com
33,Dell Inc.,34,Michael S. Dell,"1 Dell Way, Round Rock, TX 78682",www.dell.com
34,The Boeing Company,27,W. James McNerney Jr.,"100 N. Riverside Plaza, Chicago, IL 60606",www.boeing.com
35,Microsoft Corporation,44,Steven A. Ballmer,"1 Microsoft Way, Redmond, WA 98052",www.microsoft.com
