Rank,Title,Previous Rank,CEO,Address,Website
1,"Wal-Mart Stores, Inc.",2,H. Lee Scott Jr.,"702 S.W. Eighth St., Bentonville, AR 72716",www.corporate.walmart.com
2,Exxon Mobil Corporation,1,Lee R. Raymond,"300 Renaissance Center, Detroit, MI 48265",www.exxonmobil.com
3,General Motors Corporation,3,G. Richard Wagoner Jr.,"5959 Las Colinas Blvd., Irving, TX 75039",www.gm.com
4,Ford Motor Company,4,William Clay Ford Jr.,"1 American Rd., Dearborn, MI 48126",www.ford.com
5,Enron,7,Stephen F. Cooper,"3135 Easton Turnpike, Fairfield, CT 6828",www.enron.com
6,General Electric Company,5,Jeffrey R. Immelt,"399 Park Ave., New York, NY 10043",www.ge.com
7,"Citigroup, Inc.",6,Sanford I. Weill,"6001 Bollinger Canyon Rd., San Ramon, CA 94583",www.citigroup.com
8,ChevronTexaco Corporation,20,-,"New Orchard Rd., Armonk, NY 10504",www.chevron.com
9,International Business Machines Corporation,8,Samuel J. Palmisano,"70 Pine St., New York, NY 10270",www.ibm.com
10,Philip Morris Companies Inc.,11,Louis C. Camilleri,"1095 Sixth Ave., New York, NY 10036",www.altria.com
11,Verizon Communications Inc.,10,Ivan G. Seidenberg,"120 Park Ave., New York, NY 10017",www.verizon.com
12,"American International Group,Inc.",22,Maurice R. Greenberg,"600 N. Dairy Ashford, Houston, TX 77079",www.aig.com
13,"American Electric Power Company, Inc.",146,E. Linn Draper Jr.,"2455 Paces Ferry Rd., Atlanta, GA 30339",www.aep.com
14,Duke Energy Corporation,17,Richard B. Priory,"3000 Hanover St., Palo Alto, CA 94304",www.duke-energy.com
15,AT&T Corp.,9,C. Michael Armstrong,"100 N. Riverside Plaza, Chicago, IL 60606",www.att.com
16,The Boeing Company,15,Philip M. Condit,"3900 Wisconsin Ave. N.W., Washington, DC 20016",www.boeing.com
17,El Paso Corporation,86,William A. Wise,"1 Merck Dr., Whitehouse Station, NJ 8889",www.elpaso.com
18,"The Home Depot, Inc.",23,Robert L. Nardelli,"1014 Vine St., Cincinnati, OH 45202",www.homedepot.com
19,Bank of America Corporation,13,Kenneth D. Lewis,"7000 Cardinal Place, Dublin, OH 43017",www.bankofamerica.com
20,Fannie Mae,26,Franklin D. Raines,"1 Post St., San Francisco, CA 94104",www.fanniemae.com
21,J.P. Morgan Chase & Co.,12,William B. Harrison Jr.,"1 State Farm Plaza, Bloomington, IL 61710",www.jpmorganchase.com
22,The Kroger Company,18,Joseph A. Pichler,"1 AT&T Way, Bedminster, NJ 7921",www.thekrogerco.com
23,"Cardinal Health, Inc.",51,Robert D. Walter,"100 N. Tryon St., Charlotte, NC 28255",www.cardinal.com
24,"Merck & Co., Inc.",30,Raymond V. Gilmartin,"1300 Morris Dr., Chesterbrook, PA 19087",www.merck.com
25,State Farm Insurance Cos.,21,Edward B. Rust Jr.,"1000 Nicollet Mall, Minneapolis, MN 55403",www.statefarm.com
26,"Reliant Energy, Incorporated",55,R. Steve Letbetter,"270 Park Ave., New York, NY 10017",www.centerpointenergy.com
27,SBC Communications Inc.,14,Edward E. Whitacre Jr.,"175 E. Houston St., San Antonio, TX 78205",www.att.com
28,Hewlett-Packard Company,19,Carleton S. Fiorina,"1440 Kiewit Plaza, Omaha, NE 68131",www.hp.com
29,Morgan Stanley Dean Witter & Co.,24,Philip J. Purcell,"75 Rockefeller Plaza, New York, NY 10019",www.morganstanley.com
30,Dynegy Inc.,54,Charles L. Watson,"3333 Beverly Rd., Hoffman Estates, IL 60179",www.dynegy.com
31,McKesson Corporation,35,John H. Hammergren,"1 Procter & Gamble Plaza, Cincinnati, OH 45202",www.mckesson.com
32,Sears Roebuck and Company,29,Alan J. Lacy,"8200 Jones Branch Dr., McLean, VA 22102",www.sears.com
33,"Aquila, Inc.",60,Robert K. Green,"999 Lake Dr., Issaquah, WA 98027",www.aquila.com
34,Target Corporation,37,Robert J. Ulrich,"1 Johnson & Johnson Plaza, New Brunswick, NJ 8933",www.target.com
35,The Procter & Gamble Company,31,Alan G. Lafley,"250 Parkcenter Blvd., Boise, ID 83726",www.pg.com
36,"Merrill Lynch & Co., Inc.",25,David H. Komansky,"1 Dell Way, Round Rock, TX 78682",www.ml.com
37,AOL Time Warner,271,Richard D. Parsons,"235 E. 42nd St., New York, NY 10017",www.timewarner.com
39,Berkshire Hathaway Inc.,40,Warren E. Buffett,"3100 W. Big Beaver Rd., Troy, MI 48084",www.berkshirehathaway.com
40,Kmart Corporation,36,James Adamson,"1585 Broadway, New York, NY 10036",www.searsholdings.com
41,Freddie Mac,50,Leland C. Brendsel,"5918 Stoneridge Mall Rd., Pleasanton, CA 94588",www.freddiemac.com
42,"WorldCom, Inc.",32,Bernard J. Ebbers,"6501 Legacy Dr., Plano, TX 75024",www.mci.com
43,Marathon Oil Corporation,39,Clarence P. Cazalot Jr.,"55 Glenlake Pkwy. N.E., Atlanta, GA 30328",www.marathonoil.com
44,Costco Wholesale Corporation,45,James D. Sinegal,"2775 Sanders Rd., Northbrook, IL 60062",www.costco.com
45,Safeway Inc.,46,Steven A. Burd,"200 Wilmot Rd., Deerfield, IL 60015",www.safeway.com
46,Compaq Computer Corporation,27,Michael D. Capellas,"420 Montgomery St., San Francisco, CA 94163",www.compaq.com
47,Johnson & Johnson,57,William C. Weldon,"1 Microsoft Way, Redmond, WA 98052",www.jnj.com
48,Conoco Inc.,44,Archie W. Dunham,"4 World Financial Center, New York, NY 10080",www.conoco.com
49,Pfizer Inc.,53,Henry A. McKinnell,"1 Financial Plaza, Hartford, CT 6103",www.pfizer.com
50,"J.C. Penney Company, Inc.",43,Allen I. Questrom,"1 ConAgra Dr., Omaha, NE 68102",www.jcpenney.com
51,MetLife Inc.,47,Robert H. Benmosche,"2030 Dow Center, Midland, MI 48674",www.metlife.com
52,Mirant Corp.,-,S. Marce Fuller,"5555 San Felipe Ave., Houston, TX 77056",www.mirant.com
53,Dell Computer Corporation,48,Michael S. Dell,"5725 Delphi Dr., Troy, MI 48098",www.dell.com
54,"Goldman Sachs Group, Inc.",42,Henry M. Paulson Jr.,"6200 Sprint Pkwy., Overland Park, KS 66214",www.gs.com
55,"United Parcel Service, Inc.",52,Michael L. Eskew,"1 Valero Place, San Antonio, TX 78212",www.ups.com
56,"Motorola, Inc.",34,Christopher B. Galvin,"6801 Rockledge Dr., Bethesda, MD 20817",www.motorolasolutions.com
57,The Allstate Corporation,59,Edward M. Liddy,"751 Broad St., Newark, NJ 7102",www.allstate.com
58,TXU Corp.,85,Erle  Nye,"2200 Mission College Blvd., Santa Clara, CA 95052",www.energyfutureholdings.com
59,United Technologies Corporation,64,George David,"1303 E. Algonquin Rd., Schaumburg, IL 60196",www.utc.com
60,The Dow Chemical Company,78,Michael D. Parker,"1605 Curtis Bridge Rd., Wilkesboro, NC 28697",www.dow.com
61,"ConAgra Foods, Incorporated",68,Bruce C. Rohde,"500 S. Buena Vista St., Burbank, CA 91521",www.conagrafoods.com
62,"Prudential Financial, Inc.",80,Arthur F. Ryan,"700 Anderson Hill Rd., Purchase, NY 10577",www.prudential.com
63,"PepsiCo, Inc.",94,Steven S. Reinemund,"9900 Bren Rd. East, Minnetonka, MN 55343",www.pepsico.com
64,Wells Fargo & Co.,62,Richard M. Kovacevich,"400 Atlantic St., Stamford, CT 6921",www.wellsfargo.com
65,Intel,41,Craig R. Barrett,"51 Madison Ave., New York, NY 10010",www.intel.com
66,International Paper Company,61,John T. Dillon,"1515 Broadway, New York, NY 10036",www.internationalpaper.com
67,Delphi Corporation,57,J. T. Battenberg III,"1007 Market St., Wilmington, DE 19898",www.delphi.com
68,Sprint Corporation,75,William T. Esrey,"1 CVS Drive, Woonsocket, RI 2895",www.sprint.com
69,New York Life Insurance Company,87,Seymour G. Sternberg,"200 Vesey St., New York, NY 10285",www.newyorklife.com
70,E.I. du Pont de Nemours,56,Charles O. Holliday Jr.,"301 S. College St., Charlotte, NC 28288",www.dupont.com
71,Georgia-Pacific Group,84,Alston D. Correll,"4666 Faries Pkwy., Decatur, IL 62525",www.gp.com
72,Microsoft Corporation,79,Steven A. Ballmer,"2210 W. Oaklawn Dr., Springdale, AR 72762",www.microsoft.com
73,The Walt Disney Company,67,Michael D. Eisner,"1390 Enclave Pkwy., Houston, TX 77077",www.disney.com
74,Aetna,63,John W. Rowe,"133 Peachtree St. N.E., Atlanta, GA 30303",www.aetna.com
75,"Ingram Micro, Inc.",49,Kent B. Foster,"85 Broad St., New York, NY 10004",www.ingrammicro.com
76,Lucent Technologies Inc.,28,Patricia F. Russo,"1600 E. St. Andrew Place, Santa Ana, CA 92705",www.alcatel-lucent.com
77,Lockheed Martin Corporation,69,Vance D. Coffman,"1155 Peachtree St. N.E. , Atlanta, GA 30309",www.lockheedmartin.com
78,Walgreen Co.,90,David W. Bernauer,"101 Columbia Rd., Morristown, NJ 7962",www.walgreens.com
79,Bank One Corporation,70,James Dimon,"1 Bank One Plaza, Chicago, IL 60670",www.bankone.com
80,Teachers Insurance and Annuity Association College Retiremen,33,John H. Biggs,"5400 Legacy Dr., Plano, TX 75024",www.tiaa-cref.org
81,Phillips Petroleum Company,89,James J. Mulva,"11840 Valley View Rd., Eden Prairie, MN 55344",www.conocophillips.com
82,BellSouth Corporation,66,F. Duane Ackerman,"201 Isabella St., Pittsburgh, PA 15212",www.bellsouth.com
83,Honeywell International Inc.,71,David M. Cote,"942 S. Shady Grove Rd., Memphis, TN 38120",www.honeywell.com
84,"UnitedHealth Group, Incorporated",91,William W. McGuire,"1295 State St., Springfield, MA 1111",www.unitedhealthgroup.com
85,Viacom Inc.,101,Sumner M. Redstone,"100 N.E. Adams St., Peoria, IL 61629-4295",www.cbscorporation.com
86,Supervalu Inc.,97,Jeffrey Noddle,"5757 N. Green Bay Ave., Milwaukee, WI 53201",www.supervalu.com
