ranking,full name,ceo,sector,industry,hq location,hq address,website
33,Comcast Corporation,Brian L. Roberts,Telecommunications,Telecommunications,Philadelphia,1 Comcast Center,http://www.comcastcorporation.com
34,International Business Machines Corporation,Virginia M. Rometty,Technology,Information Technology Services,"Armonk, N.Y.",1 New Orchard Rd.,http://www.ibm.com
35,Dell Technologies Inc.,Michael S. Dell,Technology,"Computers, Office Equipment","Round Rock, Texas",1 Dell Way,http://www.delltechnologies.com
36,State Farm Insurance Cos.,Michael L. Tipsord,Financials,Insurance: Property and Casualty (Mutual),"Bloomington, Ill.",1 State Farm Plaza,http://www.statefarm.com
37,Johnson & Johnson,Alex Gorsky,Health Care,Pharmaceuticals,"New Brunswick, N.J.",1 Johnson & Johnson Plaza,http://www.jnj.com
38,Federal Home Loan Mortgage Corporation,Donald H. Layton,Financials,Diversified Financials,"McLean, Va.",8200 Jones Branch Dr.,http://www.freddiemac.com
39,Target Corporation,Brian C. Cornell,Retailing,General Merchandisers,Minneapolis,1000 Nicollet Mall,http://www.target.com
40,"Lowe's Companies, Inc.",Robert A. Niblock,Retailing,Specialty Retailers: Other,"Mooresville, N.C.",1000 Lowe's Blvd.,http://www.lowes.com
41,Marathon Petroleum Corporation,Gary R. Heminger,Energy,Petroleum Refining,"Findlay, Ohio",539 S. Main St.,http://www.marathonpetroleum.com
42,The Procter & Gamble Company,David S. Taylor,Household Products,Household and Personal Products,Cincinnati,1 Procter & Gamble Plaza,http://www.pg.com
43,"MetLife, Inc.",Steven A. Kandarian,Financials,"Insurance: Life, Health (stock)",New York City,200 Park Ave.,http://www.metlife.com
44,"United Parcel Service, Inc.",David P. Abney,Transportation,"Mail, Package, and Freight Delivery",Atlanta,55 Glenlake Pkwy. N.E.,http://www.ups.com
45,"PepsiCo, Inc.",Indra K. Nooyi,"Food, Beverages & Tobacco",Food Consumer Products,"Purchase, N.Y.",700 Anderson Hill Rd.,http://www.pepsico.com
46,Intel Corporation,Brian M. Krzanich,Technology,Semiconductors and Other Electronic Components,"Santa Clara, Calif.",2200 Mission College Blvd.,http://www.intel.com
47,DowDuPont Inc.,Edward D. Breen,Chemicals,Chemicals,"Midland, Mich.",2030 Dow Center,http://www.dow-dupont.com
48,Archer-Daniels-Midland Company,Juan R. Luciano,"Food, Beverages & Tobacco",Food Production,Chicago,77 W. Wacker Dr.,http://www.adm.com
49,Aetna Inc.,Mark T. Bertolini,Health Care,Health Care: Insurance and Managed Care,"Hartford, Conn.",151 Farmington Ave.,http://www.aetna.com
50,FedEx Corporation,Frederick W. Smith,Transportation,"Mail, Package, and Freight Delivery",Memphis,942 S. Shady Grove Rd.,http://www.fedex.com
51,United Technologies Corporation,Gregory J. Hayes,Aerospace & Defense,Aerospace and Defense,"Farmington, Conn.",10 Farm Springs Rd.,http://www.utc.com
52,"Prudential Financial, Inc.",John R. Strangfeld,Financials,"Insurance: Life, Health (stock)","Newark, N.J.",751 Broad St.,http://www.prudential.com
53,"Albertsons Companies, Inc.",Robert G. Miller,Food & Drug Stores,Food and Drug Stores,"Boise, Idaho",250 Parkcenter Blvd.,http://www.albertsons.com
54,Sysco Corporation,,Wholesalers,Wholesalers: Food and Grocery,Houston,1390 Enclave Pkwy.,http://www.sysco.com
55,The Walt Disney Company,Robert A. Iger,Media,Entertainment,"Burbank, Calif.",500 S. Buena Vista St.,http://www.disney.com
56,Humana Inc.,Bruce D. Broussard,Health Care,Health Care: Insurance and Managed Care,"Louisville, Ky.",500 W. Main St.,http://www.humana.com
57,Pfizer Inc.,Ian C. Read,Health Care,Pharmaceuticals,New York City,235 E. 42nd St.,http://www.pfizer.com
58,HP Inc.,Dion J. Weisler,Technology,"Computers, Office Equipment","Palo Alto, Calif.",1501 Page Mill Rd.,http://www.hp.com
59,Lockheed Martin Corporation,Marillyn A. Hewson,Aerospace & Defense,Aerospace and Defense,"Bethesda, Md.",6801 Rockledge Dr.,http://www.lockheedmartin.com
60,"American International Group, Inc.",Brian Duperreault,Financials,Insurance: Property and Casualty (Stock),New York City,175 Water St.,http://www.aig.com
61,Centene Corporation,Michael F. Neidorff,Health Care,Health Care: Insurance and Managed Care,St. Louis,7700 Forsyth Blvd.,http://www.centene.com
62,"Cisco Systems, Inc.",Charles H. Robbins,Technology,Network and Other Communications Equipment,"San Jose, Calif.",170 W. Tasman Dr.,http://www.cisco.com
63,"HCA Healthcare, Inc.",R. Milton Johnson,Health Care,Health Care: Medical Facilities,Nashville,1 Park Plaza,http://www.hcahealthcare.com
64,"Energy Transfer Equity, L.P.",John W. McReynolds,Energy,Pipelines,Dallas,8111 Westchester Dr.,http://www.energytransfer.com
65,Caterpillar Inc.,D. James Umpleby III,Industrials,Construction and Farm Machinery,"Deerfield, Ill.",510 Lake Cook Rd.,http://www.caterpillar.com
66,Nationwide Mutual Insurance Co.,Stephen S. Rasmussen,Financials,Insurance: Property and Casualty (Mutual),"Columbus, Ohio",1 Nationwide Plaza,http://www.nationwide.com
67,Morgan Stanley,James P. Gorman,Financials,Commercial Banks,New York City,1585 Broadway,http://www.morganstanley.com
68,Liberty Mutual Holding Company Inc.,David H. Long,Financials,Insurance: Property and Casualty (Stock),Boston,175 Berkeley St.,http://www.libertymutual.com
69,New York Life Insurance Company,Theodore A. Mathas,Financials,"Insurance: Life, Health (Mutual)",New York City,51 Madison Ave.,http://www.newyorklife.com
70,"The Goldman Sachs Group, Inc.",Lloyd C. Blankfein,Financials,Commercial Banks,New York City,200 West St.,http://www.gs.com
71,American Airlines Group Inc.,W. Douglas Parker,Transportation,Airlines,Fort Worth,4333 Amon Carter Blvd.,http://www.aa.com
72,"Best Buy Co., Inc.",Hubert B. Joly,Retailing,Specialty Retailers: Other,"Richfield, Minn.",7601 Penn Ave. S.,http://www.bestbuy.com
73,CIGNA Corporation,David M. Cordani,Health Care,Health Care: Insurance and Managed Care,"Bloomfield, Conn.",900 Cottage Grove Rd.,http://www.cigna.com
74,"Charter Communications, Inc.",Thomas M. Rutledge,Telecommunications,Telecommunications,"Stamford, Conn.",400 Atlantic St.,http://www.charter.com
75,"Delta Air Lines, Inc.",Edward H. Bastian,Transportation,Airlines,Atlanta,1030 Delta Blvd.,http://www.delta.com
76,"Facebook, Inc.",Mark Zuckerberg,Technology,Internet Services and Retailing,"Menlo Park, Calif.",1601 Willow Rd.,http://www.facebook.com
77,Honeywell International Inc.,Darius Adamczyk,Industrials,"Electronics, Electrical Equip.","Morris Plains, N.J.",115 Tabor Rd.,http://www.honeywell.com
78,"Merck & Co., Inc.",Kenneth C. Frazier,Health Care,Pharmaceuticals,"Kenilworth, N.J.",2000 Galloping Hill Rd.,http://www.merck.com
79,The Allstate Corporation,Thomas J. Wilson,Financials,Insurance: Property and Casualty (Stock),"Northbrook, Ill.",2775 Sanders Rd.,http://www.allstate.com
80,"Tyson Foods, Inc.",Thomas P. Hayes,"Food, Beverages & Tobacco",Food Production,"Springdale, Ark.",2200 W. Don Tyson Pkwy.,http://www.tysonfoods.com
81,"United Continental Holdings, Inc.",Oscar Munoz,Transportation,Airlines,Chicago,233 S. Wacker Dr.,http://www.united.com
82,Oracle Corporation,Safra A. Catz/Mark V. Hurd,Technology,Computer Software,"Redwood City, Calif.",500 Oracle Pkwy.,http://www.oracle.com
83,Tech Data Corporation,Robert M. Dutkowsky,Wholesalers,Wholesalers: Electronics and Office Equipment,"Clearwater, Fla.",5350 Tech Data Dr.,http://www.techdata.com
84,Teachers Insurance and Annuity Association,Roger W. Ferguson Jr.,Financials,"Insurance: Life, Health (Mutual)",New York City,730 Third Ave.,http://www.tiaa.org
85,"The TJX Companies, Inc.",Ernie L. Herrman,Retailing,Specialty Retailers: Apparel,"Framingham, Mass.",770 Cochituate Rd.,http://www.tjx.com
86,American Express Company,Stephen J. Squeri,Financials,Diversified Financials,New York City,200 Vesey St.,http://www.americanexpress.com
87,The Coca-Cola Company,James R. Quincey,"Food, Beverages & Tobacco",Beverages,Atlanta,1 Coca-Cola Plaza,http://www.coca-colacompany.com
88,"Publix Super Markets, Inc.",Randall T. Jones Sr.,Food & Drug Stores,Food and Drug Stores,"Lakeland, Fla.",3300 Publix Corporate Pkwy.,http://www.publix.com
89,"Nike, Inc.",Mark G. Parker,Apparel,Apparel,"Beaverton, Ore.",1 Bowerman Dr.,http://www.nike.com
90,Andeavor,Gregory J. Goff,Energy,Petroleum Refining,San Antonio,19100 Ridgewood Pkwy.,http://www.andeavor.com
91,World Fuel Services Corporation,Michael J. Kasbar,Energy,Energy,Miami,9800 N.W. 41st St.,http://www.wfscorp.com
92,Exelon Corporation,Christopher M. Crane,Energy,Utilities: Gas and Electric,Chicago,10 S. Dearborn St.,http://www.exeloncorp.com
93,Massachusetts Mutual Life Insurance Company,Roger W. Crandall,Financials,"Insurance: Life, Health (Mutual)","Springfield, Mass.",1295 State St.,http://www.massmutual.com
94,Rite Aid Corporation,John T. Standley,Food & Drug Stores,Food and Drug Stores,"Camp Hill, Pa.",30 Hunter Lane,http://www.riteaid.com
95,ConocoPhillips,Ryan M. Lance,Energy,"Mining, Crude-Oil Production",Houston,600 N. Dairy Ashford Rd.,http://www.conocophillips.com
96,CHS Inc.,Jay D. Debertin,"Food, Beverages & Tobacco",Food Production,"Inver Grove Heights, Minn.",5500 Cenex Dr.,http://www.chsinc.com
97,3M Company,Inge G. Thulin,Industrials,Miscellaneous,"St. Paul, Minn.",3M Center,http://www.3m.com
98,Time Warner Inc.,Jeffrey L. Bewkes,Media,Entertainment,New York City,1 Time Warner Center,http://www.timewarner.com
99,General Dynamics Corporation,Phebe N. Novakovic,Aerospace & Defense,Aerospace and Defense,"Falls Church, Va.",2941 Fairview Park Dr.,http://www.generaldynamics.com
100,United Services Automobile Association,Stuart Parker,Financials,Insurance: Property and Casualty (Stock),San Antonio,9800 Fredericksburg Rd.,http://www.usaa.com
101,Capital One Financial Corporation,Richard D. Fairbank,Financials,Commercial Banks,"McLean, Va.",1680 Capital One Dr.,http://www.capitalone.com
102,Deere & Company,Samuel R. Allen,Industrials,Construction and Farm Machinery,"Moline, Ill.",1 John Deere Place,http://www.johndeere.com
103,INTL FCStone Inc.,Sean M. O'Connor,Financials,Diversified Financials,New York City,708 Third Ave.,http://www.intlfcstone.com
104,"Northwestern Mutual Life Insurance Company, Inc.",John E. Schlifske,Financials,"Insurance: Life, Health (Mutual)",Milwaukee,720 E. Wisconsin Ave.,http://www.northwesternmutual.com
105,Enterprise Products Partners L.P.,A. James Teague,Energy,Pipelines,Houston,1100 Louisiana St.,http://www.enterpriseproducts.com
106,"The Travelers Companies, Inc.",Alan D. Schnitzer,Financials,Insurance: Property and Casualty (Stock),New York City,485 Lexington Ave.,http://www.travelers.com
107,Hewlett Packard Enterprise Company,Antonio Neri,Technology,"Computers, Office Equipment","Palo Alto, Calif.",3000 Hanover St.,http://www.hpe.com
108,Philip Morris International Inc.,,"Food, Beverages & Tobacco",Tobacco,New York City,120 Park Ave.,http://www.pmi.com
109,"Twenty-First Century Fox, Inc.",James R. Murdoch,Media,Entertainment,New York City,1211 Ave. of the Americas,http://www.21cf.com
110,AbbVie Inc.,Richard A. Gonzalez,Health Care,Pharmaceuticals,"North Chicago, Ill.",1 N. Waukegan Rd.,http://www.abbvie.com
111,Abbott Laboratories,Miles D. White,Health Care,Medical Products and Equipment,"Abbott Park, Ill.",100 Abbott Park Rd.,http://www.abbott.com
112,The Progressive Corporation,Susan Patricia Griffith,Financials,Insurance: Property and Casualty (Stock),"Mayfield Village, Ohio",6300 Wilson Mills Rd.,http://www.progressive.com
113,"Arrow Electronics, Inc",Michael J. Long,Wholesalers,Wholesalers: Electronics and Office Equipment,"Centennial, Colo.",9201 E. Dry Creek Rd.,http://www.arrow.com
114,The Kraft Heinz Company,Bernardo Hees,"Food, Beverages & Tobacco",Food Consumer Products,Pittsburgh,1 PPG Place,http://www.kraftheinzcompany.com
115,"Plains GP Holdings, L.P.",Greg L. Armstrong,Energy,Pipelines,Houston,333 Clay St.,http://www.plainsallamerican.com
116,"Gilead Sciences, Inc.",John F. Milligan IV,Health Care,Pharmaceuticals,"Foster City, Calif.",333 Lakeside Dr.,http://www.gilead.com
117,"Mondelez International, Inc.",Dirk Van de Put,"Food, Beverages & Tobacco",Food Consumer Products,"Deerfield, Ill.",3 Pkwy. N.,http://www.mondelezinternational.com
118,Northrop Grumman Corporation,Wesley G. Bush,Aerospace & Defense,Aerospace and Defense,"Falls Church, Va.",2980 Fairview Park Dr.,http://www.northropgrumman.com
119,Raytheon Company,Thomas A. Kennedy,Aerospace & Defense,Aerospace and Defense,"Waltham, Mass.",870 Winter St.,http://www.raytheon.com
120,"Macy's, Inc.",Jeffrey Gennette,Retailing,General Merchandisers,Cincinnati,7 W. Seventh St.,http://www.macysinc.com
121,US Foods Holding Corp.,Pietro Satriano,Wholesalers,Wholesalers: Food and Grocery,"Rosemont, Ill.",9399 W. Higgins Rd.,http://www.usfoods.com
122,U.S. Bancorp,Andrew J. Cecere,Financials,Commercial Banks,Minneapolis,800 Nicollet Mall,http://www.usbank.com
123,Dollar General Corporation,Todd J. Vasos,Retailing,Specialty Retailers: Other,"Goodlettsville, Tenn.",100 Mission Ridge,http://www.dollargeneral.com
124,International Paper Company,Mark S. Sutton,Materials,"Packaging, Containers",Memphis,6400 Poplar Ave.,http://www.internationalpaper.com
125,Duke Energy Corporation,Lynn J. Good,Energy,Utilities: Gas and Electric,"Charlotte, N.C.",550 S. Tryon St.,http://www.duke-energy.com
126,The Southern Company,Thomas A. Fanning,Energy,Utilities: Gas and Electric,Atlanta,30 Ivan Allen Jr. Blvd. N.W.,http://www.southerncompany.com
127,"Marriott International, Inc.",Arne M. Sorenson,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts","Bethesda, Md.",10400 Fernwood Rd.,http://www.marriott.com
128,"Avnet, Inc.",William J. Amelio,Wholesalers,Wholesalers: Electronics and Office Equipment,Phoenix,2211 S. 47th St.,http://www.avnet.com
129,Eli Lilly and Company,David A. Ricks,Health Care,Pharmaceuticals,Indianapolis,Lilly Corporate Center,http://www.lilly.com
130,Amgen Inc.,Robert A. Bradway,Health Care,Pharmaceuticals,"Thousand Oaks, Calif.",1 Amgen Center Dr.,http://www.amgen.com
131,McDonald's Corporation,Stephen J. Easterbrook,"Hotels, Restaurants & Leisure",Food Services,"Oak Brook, Ill.",1 McDonald's Plaza,http://www.aboutmcdonalds.com
132,Starbucks Corporation,Keven R. Johnson,"Hotels, Restaurants & Leisure",Food Services,Seattle,2401 Utah Ave. S.,http://www.starbucks.com
133,Qualcomm Incorporated,Steven M. Mollenkopf,Technology,Semiconductors and Other Electronic Components,San Diego,5775 Morehouse Dr.,http://www.qualcomm.com
134,"Dollar Tree, Inc.",Gary M. Philbin,Retailing,Specialty Retailers: Other,"Chesapeake, Va.",500 Volvo Pkwy.,http://www.dollartree.com
135,PBF Energy Inc.,Thomas J. Nimbley,Energy,Petroleum Refining,"Parsippany, N.J.",1 Sylvan Way,http://www.pbfenergy.com
136,Icahn Enterprises L.P.,Keith Cozza,Financials,Diversified Financials,New York City,767 Fifth Ave.,http://www.ielp.com
137,Aflac Incorporated,Daniel P. Amos,Financials,"Insurance: Life, Health (stock)","Columbus, Ga.",1932 Wynnton Rd.,http://www.aflac.com
138,"AutoNation, Inc.",Michael J. Jackson,Retailing,"Automotive Retailing, Services","Fort Lauderdale, Fla.",200 S.W. First Ave.,http://www.autonation.com
139,"Penske Automotive Group, Inc.",Roger S. Penske,Retailing,"Automotive Retailing, Services","Bloomfield Hills, Mich.",2555 Telegraph Rd.,http://www.penskeautomotive.com
140,Whirlpool Corporation,Marc R. Bitzer,Industrials,"Electronics, Electrical Equip.","Benton Harbor, Mich.",2000 N. M-63,http://www.whirlpoolcorp.com
141,Union Pacific Corporation,Lance M. Fritz,Transportation,Railroads,Omaha,1400 Douglas St.,http://www.up.com
142,Southwest Airlines Co.,Gary C. Kelly,Transportation,Airlines,Dallas,2702 Love Field Dr.,http://www.southwest.com
143,ManpowerGroup Inc.,Jonas Prising,Business Services,Temporary Help,Milwaukee,100 Manpower Place,http://www.manpowergroup.com
144,Thermo Fisher Scientific Inc.,Marc N. Casper,Technology,"Scientific,Photographic and Control Equipment","Waltham, Mass.",168 Third Ave.,http://www.thermofisher.com
145,Bristol-Myers Squibb Company,Giovanni Caforio,Health Care,Pharmaceuticals,New York City,345 Park Ave.,http://www.bms.com
146,Halliburton Company,Jeffrey A. Miller,Energy,"Oil and Gas Equipment, Services",Houston,3000 N. Sam Houston Pkwy E.,http://www.halliburton.com
147,Tenet Healthcare Corporation,Ronald A. Rittenmeyer,Health Care,Health Care: Medical Facilities,Dallas,1445 Ross Ave.,http://www.tenethealth.com
148,Lear Corporation,Raymond E. Scott,Motor Vehicles & Parts,Motor Vehicles and Parts,"Southfield, Mich.",21557 Telegraph Rd.,http://www.lear.com
149,Cummins Inc.,N. Thomas Linebarger,Industrials,Industrial Machinery,"Columbus, Ind.",500 Jackson St.,http://www.cummins.com
150,"Micron Technology, Inc.",Sanjay Mehrotra,Technology,Semiconductors and Other Electronic Components,"Boise, Idaho",8000 S. Federal Way,http://www.micron.com
151,Nucor Corporation,John J. Ferriola,Materials,Metals,"Charlotte, N.C.",1915 Rexford Rd.,http://www.nucor.com
152,"Molina Healthcare, Inc.",Joseph M. Zubretsky,Health Care,Health Care: Insurance and Managed Care,"Long Beach, Calif.",200 Oceangate,http://www.molinahealthcare.com
153,Fluor Corporation,David T. Seaton,Engineering & Construction,"Engineering, Construction","Irving, Texas",6700 Las Colinas Blvd.,http://www.fluor.com
154,"Altria Group, Inc.",Howard A. Willard III,"Food, Beverages & Tobacco",Tobacco,"Richmond, Va.",6601 W. Broad St.,http://www.altria.com
155,PACCAR Inc,Ronald E. Armstrong,Industrials,Construction and Farm Machinery,"Bellevue, Wash.",777 106th Ave. N.E.,http://www.paccar.com
156,"The Hartford Financial Services Group, Inc.",Christopher J. Swift,Financials,Insurance: Property and Casualty (Stock),"Hartford, Conn.",1 Hartford Plaza,http://www.thehartford.com
157,Kohl's Corporation,Michelle D. Gass,Retailing,General Merchandisers,"Menomonee Falls, Wis.",N56 W17000 Ridgewood Dr.,http://www.kohls.com
158,Western Digital Corporation,Stephen D. Milligan,Technology,"Computers, Office Equipment","San Jose, Calif.",5601 Great Oaks Pkwy.,http://www.wdc.com
159,Jabil Inc,Mark T. Mondello,Technology,Semiconductors and Other Electronic Components,"St. Petersburg, Fla.",10560 Dr. Martin Luther King Jr. St. N.,http://www.jabil.com
160,"Community Health Systems, Inc.",Wayne T. Smith,Health Care,Health Care: Medical Facilities,"Franklin, Tenn.",4000 Meridian Blvd.,http://www.chs.net
161,Visa Inc.,Alfred F. Kelly Jr.,Business Services,Financial Data Services,San Francisco,1 Market Plaza,http://www.visa.com
162,Danaher Corporation,Thomas P. Joyce Jr.,Health Care,Medical Products and Equipment,Washington,2200 Pennsylvania Ave. N.W.,http://www.danaher.com
163,Kimberly-Clark Corporation,Thomas J. Falk,Household Products,Household and Personal Products,"Irving, Texas",351 Phelps Dr.,http://www.kimberly-clark.com
164,AECOM,Michael S. Burke,Engineering & Construction,"Engineering, Construction",Los Angeles,1999 Ave. of the Stars,http://www.aecom.com
165,"The PNC Financial Services Group, Inc.",William S. Demchak,Financials,Commercial Banks,Pittsburgh,300 Fifth Ave.,http://www.pnc.com
166,"CenturyLink, Inc.",Jeffrey K. Storey,Telecommunications,Telecommunications,"Monroe, La.",100 CenturyLink Dr.,http://www.centurylink.com
167,"NextEra Energy, Inc.",James L. Robo,Energy,Utilities: Gas and Electric,"Juno Beach, Fla.",700 Universe Blvd.,http://www.nexteraenergy.com
168,PG&E Corporation,Geisha J. Williams,Energy,Utilities: Gas and Electric,San Francisco,77 Beale St.,http://www.pgecorp.com
169,Synnex Corporation,Dennis Polk,Wholesalers,Wholesalers: Electronics and Office Equipment,"Fremont, Calif.",44201 Nobel Dr.,http://www.synnex.com
170,"WellCare Health Plans, Inc.",Kenneth A. Burdick,Health Care,Health Care: Insurance and Managed Care,Tampa,8725 Henderson Rd.,http://www.wellcare.com
171,Performance Food Group Company,George L. Holm,Wholesalers,Wholesalers: Food and Grocery,"Richmond, Va.",12500 W. Creek Pkwy.,http://www.pfgc.com
172,Sears Holdings Corporation,Edward S. Lampert,Retailing,General Merchandisers,"Hoffman Estates, Ill.",3333 Beverly Rd.,http://www.searsholdings.com
173,Synchrony Financial,Margaret M. Keane,Financials,Diversified Financials,"Stamford, Conn.",777 Long Ridge Rd.,http://www.synchronyfinancial.com
174,"CarMax, Inc.",William D. Nash,Retailing,"Automotive Retailing, Services","Richmond, Va.",12800 Tuckahoe Creek Pkwy.,http://www.carmax.com
175,The Bank of New York Mellon Corporation,Charles W. Scharf,Financials,Commercial Banks,New York City,225 Liberty St.,http://www.bnymellon.com
176,Freeport-McMoRan Inc.,Richard C. Adkerson,Energy,"Mining, Crude-Oil Production",Phoenix,333 N. Central Ave.,http://www.fcx.com
177,Genuine Parts Company,Paul D. Donahue,Wholesalers,Wholesalers: Diversified,Atlanta,2999 Wildwood Pkwy.,http://www.genpt.com
178,Emerson Electric Co.,David N. Farr,Industrials,Industrial Machinery,St. Louis,8000 W. Florissant Ave.,http://www.emerson.com
179,DaVita Inc.,Kent J. Thiry,Health Care,Health Care: Medical Facilities,Denver,2000 16th St.,http://www.davita.com
180,Supervalu Inc.,Mark Gross,Food & Drug Stores,Food and Drug Stores,"Eden Prairie, Minn.",11840 Valley View Rd.,http://www.supervalu.com
181,"The Gap, Inc.",Arthur L. Peck,Retailing,Specialty Retailers: Apparel,San Francisco,2 Folsom St.,http://www.gapinc.com
182,"General Mills, Inc.",Jeffrey L. Harmening,"Food, Beverages & Tobacco",Food Consumer Products,Minneapolis,1 General Mills Blvd.,http://www.generalmills.com
183,"Nordstrom, Inc.",Blake W. Nordstrom,Retailing,General Merchandisers,Seattle,1617 Sixth Ave.,http://www.nordstrom.com
184,Colgate-Palmolive Company,Ian M. Cook,Household Products,Household and Personal Products,New York City,300 Park Ave.,http://www.colgatepalmolive.com
185,"American Electric Power Company, Inc.",Nicholas K. Akins,Energy,Utilities: Gas and Electric,"Columbus, Ohio",1 Riverside Plaza,http://www.aep.com
186,"XPO Logistics, Inc.",Bradley S. Jacobs,Transportation,Transportation and Logistics,"Greenwich, Conn.",5 American Lane,http://www.xpo.com
187,The Goodyear Tire & Rubber Company,Richard J. Kramer,Motor Vehicles & Parts,Motor Vehicles and Parts,"Akron, Ohio",200 Innovation Way,http://www.goodyear.com
188,Omnicom Group Inc.,John D. Wren,Business Services,"Advertising, marketing",New York City,437 Madison Ave.,http://www.omnicomgroup.com
189,CDW Corporation,Thomas E. Richards,Technology,Information Technology Services,"Lincolnshire, Ill.",75 Tri-State International,http://www.cdw.com
190,The Sherwin-Williams Company,John G. Morikis,Chemicals,Chemicals,Cleveland,101 W. Prospect Ave.,http://www.sherwin.com
191,"PPG Industries, Inc.",Michael H. McGarry,Chemicals,Chemicals,Pittsburgh,1 PPG Place,http://www.ppg.com
192,Texas Instruments Incorporated,Richard K. Templeton,Technology,Semiconductors and Other Electronic Components,Dallas,12500 TI Blvd.,http://www.ti.com
