ranking,full name,ceo,sector,industry,hq location,hq address,website
1,Walmart Inc.,C. Douglas McMillon,Retailing,General Merchandisers,"Bentonville, Ark.",702 S.W. Eighth St.,http://www.stock.walmart.com
2,Exxon Mobil Corporation,Darren W. Woods,Energy,Petroleum Refining,"Irving, Texas",5959 Las Colinas Blvd.,http://www.exxonmobil.com
3,Berkshire Hathaway Inc.,Warren E. Buffett,Financials,Insurance: Property and Casualty (Stock),Omaha,3555 Farnam St.,http://www.berkshirehathaway.com
4,"Apple, Inc.",Timothy D. Cook,Technology,"Computers, Office Equipment","Cupertino, Calif.",1 Infinite Loop,http://www.apple.com
5,UnitedHealth Group Incorporated,David S. Wichmann,Health Care,Health Care: Insurance and Managed Care,"Minnetonka, Minn.",9900 Bren Rd. E.,http://www.unitedhealthgroup.com
6,McKesson Corporation,John H. Hammergren,Wholesalers,Wholesalers: Health Care,San Francisco,1 Post St.,http://www.mckesson.com
7,CVS Health Corporation,Larry J. Merlo,Health Care,Health Care: Pharmacy and Other Services,"Woonsocket, R.I.",1 CVS Dr.,http://www.cvshealth.com
8,"Amazon.com, Inc.",Jeffrey P. Bezos,Retailing,Internet Services and Retailing,Seattle,410 Terry Ave. N.,http://www.amazon.com
9,AT&T Inc.,Randall L. Stephenson,Telecommunications,Telecommunications,Dallas,208 S. Akard St.,http://www.att.com
10,General Motors Company,Mary T. Barra,Motor Vehicles & Parts,Motor Vehicles and Parts,Detroit,300 Renaissance Center,http://www.gm.com
11,Ford Motor Company,James P. Hackett,Motor Vehicles & Parts,Motor Vehicles and Parts,"Dearborn, Mich.",1 American Rd.,http://www.corporate.ford.com
12,AmerisourceBergen Corp.,Steven H. Collis,Wholesalers,Wholesalers: Health Care,"Chesterbrook, Pa.",1300 Morris Dr.,http://www.amerisourcebergen.com
13,Chevron Corporation,Michael K. Wirth,Energy,Petroleum Refining,"San Ramon, Calif.",6001 Bollinger Canyon Rd.,http://www.chevron.com
14,"Cardinal Health, Inc.",Michael C. Kaufmann,Wholesalers,Wholesalers: Health Care,"Dublin, Ohio",7000 Cardinal Place,http://www.cardinalhealth.com
15,Costco Wholesale Corporation,W. Craig Jelinek,Retailing,General Merchandisers,"Issaquah, Wash.",999 Lake Dr.,http://www.costco.com
16,Verizon Communications Inc.,Lowell C. McAdam,Telecommunications,Telecommunications,New York City,1095 Ave. of the Americas,http://www.verizon.com
17,The Kroger Company,W. Rodney McMullen,Food & Drug Stores,Food and Drug Stores,Cincinnati,1014 Vine St.,http://www.thekrogerco.com
18,General Electric Company,John L. Flannery Jr.,Industrials,Industrial Machinery,Boston,41 Farnsworth St.,http://www.ge.com
19,"Walgreens Boots Alliance, Inc",Stefano Pessina,Food & Drug Stores,Food and Drug Stores,"Deerfield, Ill.",108 Wilmot Rd.,http://www.walgreensbootsalliance.com
20,JPMorgan Chase & Co.,James Dimon,Financials,Commercial Banks,New York City,270 Park Ave.,http://www.jpmorganchase.com
21,Federal National Mortgage Association,Timothy J. Mayopoulos,Financials,Diversified Financials,Washington,3900 Wisconsin Ave. N.W.,http://www.fanniemae.com
22,Alphabet Inc.,Larry Page,Technology,Internet Services and Retailing,"Mountain View, Calif.",1600 Amphitheatre Pkwy.,http://www.abc.xyz
23,"The Home Depot, Inc.",Craig A. Menear,Retailing,Specialty Retailers: Other,Atlanta,2455 Paces Ferry Rd.,http://www.homedepot.com
24,Bank of America Corporation,Brian T. Moynihan,Financials,Commercial Banks,"Charlotte, N.C.",100 N. Tryon St.,http://www.bankofamerica.com
25,Express Scripts Holding Company,Timothy C. Wentworth,Health Care,Health Care: Pharmacy and Other Services,St. Louis,1 Express Way,http://www.express-scripts.com
26,Wells Fargo & Company,Timothy J. Sloan,Financials,Commercial Banks,San Francisco,420 Montgomery St.,http://www.wellsfargo.com
27,The Boeing Company,Dennis A. Muilenburg,Aerospace & Defense,Aerospace and Defense,Chicago,100 N. Riverside Plaza,http://www.boeing.com
28,Phillips 66,Greg C. Garland,Energy,Petroleum Refining,Houston,2331 CityWest Blvd.,http://www.phillips66.com
29,"Anthem, Inc.",Gail K. Boudreaux,Health Care,Health Care: Insurance and Managed Care,Indianapolis,120 Monument Circle,http://www.antheminc.com
30,Microsoft Corporation,Satya Nadella,Technology,Computer Software,"Redmond, Wash.",1 Microsoft Way,http://www.microsoft.com
31,Valero Energy Corporation,Joseph W. Gorder,Energy,Petroleum Refining,San Antonio,1 Valero Way,http://www.valero.com
32,Citigroup Inc.,Michael L. Corbat,Financials,Commercial Banks,New York City,388 Greenwich St.,http://www.citigroup.com
