Rank,Title,Previous Rank,CEO,Address,Website
64,FedEx Corporation,63,Frederick W. Smith,"942 S. Shady Grove Rd., Memphis, TN 38120",www.fedex.com
65,"Merck & Co., Inc.",58,Kenneth C. Frazier,"1 Merck Dr., Whitehouse Station, NJ 08889",www.merck.com
66,INTL FCStone Inc.,39,Sean M. O'Connor,"708 Third Ave., New York, NY 10017",www.intlfcstone.com
67,Safeway Inc.,62,Robert L. Edwards,"5918 Stoneridge Mall Rd., Pleasanton, CA 94588",www.safeway.com
68,"Johnson Controls, Inc.",67,Alex A. Molinaroli,"5757 N. Green Bay Ave., Milwaukee, WI 53209",www.johnsoncontrols.com
69,Ingram Micro Inc.,76,Alain Monié,"1600 E. St. Andrew Place, Santa Ana, CA 92705",www.ingrammicro.com
70,"Plains GP Holdings, L.P.",-,Greg L. Armstrong,"333 Clay St., Houston, TX 77002",www.plainsallamerican.com
71,World Fuel Services Corporation,74,Michael J. Kasbar,"9800 N.W. 41st St., Miami, FL 33178",www.wfscorp.com
72,"Prudential Financial, Inc.",29,John R. Strangfeld Jr.,"751 Broad St., Newark, NJ 07102",www.prudential.com
73,Humana Inc.,73,Bruce D. Broussard,"500 W. Main St., Louisville, KY 40202",www.humana.com
74,"The Goldman Sachs Group, Inc.",68,Lloyd C. Blankfein,"200 West St., New York, NY 10282",www.gs.com
75,Tesoro Corporation,95,Gregory J. Goff,"19100 Ridgewood Pkwy., San Antonio, TX 78259",www.tsocorp.com
76,Liberty Mutual Holding Company Inc.,81,David H. Long,"175 Berkeley St., Boston, MA 02116",www.libertymutual.com
77,Honeywell International Inc.,78,David M. Cote,"101 Columbia Rd., Morris Township, NJ 07962",www.honeywell.com
78,"United Continental Holdings, Inc.",79,Jeffery A. Smisek,"233 S. Wacker Dr., Chicago, IL 60606",www.unitedcontinentalholdings.com
79,"HCA Holdings, Inc.",82,R. Milton Johnson,"1 Park Plaza, Nashville, TN 37203",www.hcahealthcare.com
80,Deere & Company,85,Samuel R. Allen,"1 John Deere Place, Moline, IL 61265",www.deere.com
81,"Delta Air Lines, Inc.",83,Richard H. Anderson,"1030 Delta Blvd., Atlanta, GA 30354",www.delta.com
82,Oracle Corporation,80,Lawrence J. Ellison,"500 Oracle Pkwy., Redwood City, CA 94065",www.oracle.com
83,Morgan Stanley,96,James P. Gorman,"1585 Broadway, New York, NY 10036",www.morganstanley.com
84,Hess Corporation,75,John B. Hess,"1185 Ave. of the Americas, New York, NY 10036",www.hess.com
85,"Twenty-First Century Fox, Inc.",91,K. Rupert Murdoch,"1211 Ave. of the Americas, New York, NY 10036",www.21cf.com
86,E.I. du Pont de Nemours and Company,72,Ellen J. Kullman,"1007 Market St., Wilmington, DE 19898",www.dupont.com
87,Sears Holdings Corporation,71,Edward S. Lampert,"3333 Beverly Rd., Hoffman Estates, IL 60179",www.searsholdings.com
88,New York Life Insurance Company,89,Theodore A. Mathas,"51 Madison Ave., New York, NY 10010",www.newyorklife.com
89,"Mondelez International, Inc.",88,Irene B. Rosenfeld,"3 Pkwy. N., Deerfield, IL 60015",www.mondelezinternational.com
90,American Express Company,90,Kenneth I. Chenault,"200 Vesey St., New York, NY 10285",www.americanexpress.com
91,Nationwide Mutual Insurance Co.,100,Stephen S. Rasmussen,"1 Nationwide Blvd., Columbus, OH 43215",www.nationwide.com
92,The Allstate Corporation,92,Thomas J. Wilson,"2775 Sanders Rd., Northbrook, IL 60062",www.allstate.com
93,"Tyson Foods, Inc.",93,Donnie Smith,"2200 Don Tyson Pkwy., Springdale, AR 72762",www.tysonfoods.com
94,Supervalu Inc.,86,Sam K. Duncan,"7075 Flying Cloud Dr., Eden Prairie, MN 55344",www.supervalu.com
95,TIAA-CREF,97,Roger W. Ferguson Jr.,"730 Third Ave., New York, NY 10017",www.tiaa-cref.org
96,Massachusetts Mutual Life Insurance Company,94,Roger W. Crandall,"1295 State St., Springfield, MA 01111",www.massmutual.com
97,CIGNA Corporation,103,David M. Cordani,"900 Cottage Grove Rd., Bloomfield, CT 06002",www.cigna.com
98,DIRECTV,102,Michael D. White,"2260 E. Imperial Hwy., El Segundo, CA 90245",www.directv.com
99,General Dynamics Corporation,98,Phebe N. Novakovic,"2941 Fairview Park Dr., Falls Church, VA 22042",www.generaldynamics.com
100,Philip Morris International Inc.,99,André Calantzopoulos,"120 Park Ave., New York, NY 10017",www.pmi.com
101,3M Company,101,Inge G. Thulin,"3M Center, St. Paul, MN 55144",www.3m.com
102,Time Warner Inc.,105,Jeffrey L. Bewkes,"1 Time Warner Center, New York, NY 10019",www.timewarner.com
103,Halliburton Company,106,David J. Lesar,"3000 N. Sam Houston Pkwy E., Houston, TX 77032",www.halliburton.com
104,"Publix Super Markets, Inc.",108,William E. Crenshaw,"3300 Publix Corporate Pkwy., Lakeland, FL 33811",www.publix.com
105,International Paper Company,107,John V. Faraci,"6400 Poplar Ave., Memphis, TN 38197",www.internationalpaper.com
106,McDonald’s Corporation,111,Donald Thompson,"1 McDonald's Plaza, Oak Brook, IL 60523",www.mcdonalds.com
107,"Macy’s, Inc.",109,Terry J. Lundgren,"7 W. Seventh St., Cincinnati, OH 45202",www.macysinc.com
108,"The TJX Companies, Inc.",115,Carol M. Meyrowitz,"770 Cochituate Rd., Framingham, MA 01701",www.tjx.com
109,Fluor Corporation,110,David T. Seaton,"6700 Las Colinas Blvd., Irving, TX 75039",www.fluor.com
110,"Northwestern Mutual Life Insurance Company,Inc.",114,John E. Schlifske,"720 E. Wisconsin Ave., Milwaukee, WI 53202",www.northwesternmutual.com
111,Tech Data Corporation,119,Robert M. Dutkowsky,"5350 Tech Data Dr., Clearwater, FL 33760",www.techdata.com
112,American Airlines Group Inc.,121,W. Douglas Parker,"4333 Amon Carter Blvd., Fort Worth, TX 76155",www.aa.com
113,"The Hartford Financial Services Group, Inc.",112,Liam E. McGee,"1 Hartford Plaza, Hartford, CT 06155",www.thehartford.com
114,"The Travelers Companies, Inc.",116,Jay S. Fishman,"485 Lexington Ave., New York, NY 10017",www.travelers.com
115,"Nike, Inc.",126,Mark G. Parker,"1 Bowerman Dr., Beaverton, OR 97005",www.nikeinc.com
116,Occidental Petroleum Corporation,125,Stephen I. Chazen,"10889 Wilshire Blvd., Los Angeles, CA 90024",www.oxy.com
117,"Avnet, Inc.",117,Richard Hamada,"2211 S. 47th St., Phoenix, AZ 85034",www.avnet.com
118,Rite Aid Corporation,113,John T. Standley,"30 Hunter Lane, Camp Hill, PA 17011",www.riteaid.com
119,Exelon Corporation,129,Christopher M. Crane,"10 S. Dearborn St., Chicago, IL 60603",www.exeloncorp.com
120,Qualcomm Incorporated,149,Steven M. Mollenkopf,"5775 Morehouse Dr., San Diego, CA 92121",www.qualcomm.com
121,Emerson Electric Co.,123,David N. Farr,"8000 W. Florissant Ave., St. Louis, MO 63136",www.emerson.com
122,Northrop Grumman Corporation,120,Wesley G. Bush,"2980 Fairview Park Dr., Falls Church, VA 22042",www.northropgrumman.com
123,Duke Energy Corporation,145,Lynn J. Good,"550 S. Tryon St., Charlotte, NC 28202",www.duke-energy.com
124,Capital One Financial Corporation,127,Richard D. Fairbank,"1680 Capital One Dr., McLean, VA 22102",www.capitalone.com
125,Aflac Incorporated,118,Daniel P. Amos,"1932 Wynnton Rd., Columbus, GA 31999",www.aflac.com
126,Raytheon Company,124,Thomas A. Kennedy,"870 Winter St., Waltham, MA 02451",www.raytheon.com
127,"Staples, Inc.",122,Ronald L. Sargent,"500 Staples Dr., Framingham, MA 01702",www.staples.com
128,EMC Corporation,133,Joseph M. Tucci,"176 South St., Hopkinton, MA 01748",www.emc.com
129,Eli Lilly and Company,130,John C. Lechleiter,"Lilly Corporate Center, Indianapolis, IN 46285",www.lilly.com
130,Alcoa Inc.,128,Klaus Kleinfeld,"390 Park Ave., New York, NY 10022",www.alcoa.com
131,"National Oilwell Varco, Inc.",144,Clay C. Williams,"7909 Parkwood Circle Dr., Houston, TX 77036",www.nov.com
132,Baker Hughes Incorporated,135,Martin S. Craighead,"2929 Allen Pkwy., Houston, TX 77019",www.bakerhughes.com
133,"US Foods, Inc.",-,John A. Lederer,"9399 W. Higgins Rd., Rosemont, IL 60018",www.usfoods.com
134,Time Warner Cable Inc.,134,Robert D. Marcus,"60 Columbus Circle, New York, NY 10023",www.twc.com
135,Union Pacific Corporation,138,John J. Koraleski,"1400 Douglas St., Omaha, NE 68179",www.up.com
136,Abbott Laboratories,70,Miles D. White,"100 Abbott Park Rd., Abbott Park, IL 60064",www.abbott.com
137,Xerox Corporation,131,Ursula M. Burns,"45 Glover Ave., Norwalk, CT 06850",www.xerox.com
138,"Arrow Electronics, Inc",141,Michael J. Long,"7459 S. Lima St., Englewood, CO 80112",www.arrow.com
139,Kimberly-Clark Corporation,136,Thomas J. Falk,"351 Phelps Dr., Irving, TX 75038",www.kimberly-clark.com
140,U.S. Bancorp,132,Richard K. Davis,"800 Nicollet Mall, Minneapolis, MN 55402",www.usbank.com
141,United Services Automobile Association,139,Josue Robles Jr.,"9800 Fredericksburg Rd., San Antonio, TX 78288",www.usaa.com
142,Freeport-McMoRan Copper & Gold Inc.,156,Richard C. Adkerson,"333 N. Central Ave., Phoenix, AZ 85004",www.fcx.com
143,Icahn Enterprises L.P.,178,Keith Cozza,"767 Fifth Ave., New York, NY 10153",www.ielp.com
144,ManpowerGroup Inc.,140,Jonas Prising,"100 Manpower Place, Milwaukee, WI 53212",www.manpowergroup.com
145,HollyFrontier Corporation,143,Michael C. Jennings,"2828 N. Harwood, Dallas, TX 75201",www.hollyfrontier.com
146,Global Partners LP,157,Eric Slifka,"800 South St., Waltham, MA 02453",www.globalp.com
147,The Goodyear Tire & Rubber Company,137,Richard J. Kramer,"200 Innovation Way, Akron, OH 44316",www.goodyear.com
148,PBF Energy Inc.,142,Thomas J. Nimbley,"1 Sylvan Way, Parsippany, NJ 07054","www,pbfenergy.com"
149,Danaher Corporation,152,H. Lawrence Culp Jr.,"2200 Pennsylvania Ave. N.W., Washington, DC 20037",www.danaher.com
150,Nucor Corporation,146,John J. Ferriola,"1915 Rexford Rd., Charlotte, NC 28211",www.nucor.com
151,Kohl’s Corporation,148,Kevin Mansell,"N56 W17000 Ridgewood Dr., Menomonee Falls, WI 53051",www.kohlscorporation.com
152,AbbVie Inc.,-,Richard A. Gonzalez,"1 N. Waukegan Rd., North Chicago, IL 60064",www.abbvie.com
153,Whirlpool Corporation,154,Jeff M. Fettig,"2000 North M-63, Benton Harbor, MI 49022",www.whirlpoolcorp.com
154,Amgen Inc.,162,Robert A. Bradway,"1 Amgen Center Dr., Thousand Oaks, CA 91320",www.amgen.com
155,"Jabil Circuit, Inc.",163,Mark T. Mondello,"10560 Dr. Martin Luther King Jr. St. N., St. Petersburg, FL 33716",www.jabil.com
156,"Kraft Foods Group, Inc.",151,W. Anthony Vernon,"3 Lakes Dr., Northfield, IL 60093",www.kraftfoodsgroup.com
157,The Progressive Corporation,166,Glenn M. Renwick,"6300 Wilson Mills Rd., Mayfield Village, OH 44143",www.progressive.com
158,"CenturyLink, Inc.",150,Glen F. Post III,"100 CenturyLink Dr., Monroe, LA 71203",www.centurylink.com
159,"General Mills, Inc.",169,Kendall J. Powell,"1 General Mills Blvd., Minneapolis, MN 55426",www.generalmills.com
160,Southwest Airlines Co.,164,Gary C. Kelly,"2702 Love Field Dr., Dallas, TX 75235",www.southwest.com
161,"Altria Group, Inc.",159,Martin J. Barrington,"6601 W. Broad St., Richmond, VA 23230",www.altria.com
162,"AutoNation, Inc.",177,Michael J. Jackson,"200 S.W. First Ave., Fort Lauderdale, FL 33301",www.autonation.com
163,Chesapeake Energy Corporation,223,Robert D. Lawler,"6100 N. Western Ave., Oklahoma City, OK 73118",www.chk.com
164,Dollar General Corporation,175,Richard W. Dreiling,"100 Mission Ridge, Goodlettsville, TN 37072",www.dollargeneral.com
165,TRW Automotive Holdings Corp.,173,John C. Plant,"12001 Tech Center Dr., Livonia, MI 48150",www.trw.com
166,United States Steel Corporation,147,Mario Longhi,"600 Grant St., Pittsburgh, PA 15219",www.ussteel.com
167,Colgate-Palmolive Company,165,Ian M. Cook,"300 Park Ave., New York, NY 10022",www.colgatepalmolive.com
168,Cummins Inc.,160,N. Thomas Linebarger,"500 Jackson St., Columbus, IN 47201",www.cummins.com
169,PACCAR Inc,168,Ronald E. Armstrong,"777 106th Ave. N.E., Bellevue, WA 98004",www.paccar.com
170,The Southern Company,171,Thomas A. Fanning,"30 Ivan Allen Jr. Blvd. N.W., Atlanta, GA 30308",www.southerncompany.com
171,Illinois Tool Works Inc.,155,E. Scott Santi,"3600 W. Lake Ave., Glenview, IL 60026",www.itw.com
172,"The PNC Financial Services Group, Inc.",170,William S. Demchak,"249 Fifth Ave., Pittsburgh, PA 15222",www.pnc.com
173,"Medtronic, Inc.",172,Omar Ishrak,"710 Medtronic Pkwy., Minneapolis, MN 55432",www.medtronic.com
174,The AES Corporation,153,Andrés R. Gluski,"4300 Wilson Blvd., Arlington, VA 22203",www.aes.com
175,Murphy USA Inc.,-,R. Andrew Clyde,"200 Peach St., El Dorado, AR 71730",corporate.murphyusa.com
176,Bristol-Myers Squibb Company,158,Lamberto Andreotti,"345 Park Ave., New York, NY 10154",www.bms.com
177,Lear Corporation,187,Matthew J. Simoncini,"21557 Telegraph Rd., Southfield, MI 48033",www.lear.com
178,"The Gap, Inc.",179,Glenn K. Murphy,"2 Folsom St., San Francisco, CA 94105",www.gapinc.com
179,Apache Corporation,167,G. Steven Farris,"2000 Post Oak Blvd., Houston, TX 77056",www.apachecorp.com
180,eBay Inc.,196,John J. Donahoe,"2065 Hamilton Ave., San Jose, CA 95125",www.ebayinc.com
181,The Bank of New York Mellon Corporation,180,Gerald L. Hassell,"1 Wall St., New York, NY 10286",www.bnymellon.com
182,CBS Corporation,186,Leslie Moonves,"51 W. 52nd St., New York, NY 10019",www.cbscorporation.com
183,PG&E Corporation,183,Anthony F. Earley Jr.,"77 Beale St., San Francisco, CA 94105",www.pge.com
184,"ConAgra Foods, Inc.",209,Gary M. Rodkin,"1 ConAgra Dr., Omaha, NE 68102",www.conagrafoods.com
185,Computer Sciences Corporation,176,J. Michael Lawrie,"3170 Fairview Park Dr., Falls Church, VA 22042",www.csc.com
186,"American Electric Power Company, Inc.",185,Nicholas K. Akins,"1 Riverside Plaza, Columbus, OH 43215",www.aep.com
187,Western Digital Corporation,222,Stephen D. Milligan,"3355 Michelson Dr., Irvine, CA 92612",www.westerndigital.com
188,Marathon Oil Corporation,174,Lee M. Tillman,"5555 San Felipe St., Houston, TX 77056",www.marathonoil.com
189,Baxter International Inc.,193,Robert L. Parkinson Jr.,"1 Baxter Pkwy., Deerfield, IL 60015",www.baxter.com
190,"PPG Industries, Inc.",182,Charles E. Bunch,"1 PPG Place, Pittsburgh, PA 15272",www.ppg.com
191,"NextEra Energy, Inc.",190,James L. Robo,"700 Universe Blvd., Juno Beach, FL 33408",www.nexteraenergy.com
192,"Community Health Systems, Inc.",184,Wayne T. Smith,"4000 Meridian Blvd., Franklin, TN 37067",www.chs.net
193,Loews Corporation,188,James S. Tisch,"667 Madison Ave., New York, NY 10065",www.loews.com
194,"Penske Automotive Group, Inc.",203,Roger S. Penske,"2555 Telegraph Rd., Bloomfield Hills, MI 48302",www.penskeautomotive.com
195,FirstEnergy Corp.,181,Anthony J. Alexander,"76 S. Main St., Akron, OH 44308",www.firstenergycorp.com
196,Starbucks Corporation,208,Howard D. Schultz,"2401 Utah Ave. S., Seattle, WA 98134",www.starbucks.com
197,Monsanto Company,206,Hugh Grant,"800 N. Lindbergh Blvd., St. Louis, MO 63167",www.monsanto.com
198,Kellogg Company,192,John A. Bryant,"1 Kellogg Sq., Battle Creek, MI 49017",www.kelloggcompany.com
199,"Land O’Lakes, Inc.",194,Christopher J. Policinski,"4001 Lexington Ave. N., Arden Hills, MN 55126",www.landolakesinc.com
200,"ONEOK, Inc.",219,Terry K. Spencer,"100 W. Fifth St., Tulsa, OK 74103",www.oneok.com
201,Omnicom Group Inc.,191,John D. Wren,"437 Madison Ave., New York, NY 10022",www.omnicomgroup.com
202,Anadarko Petroleum Corporation,207,R. A. Walker,"1201 Lake Robbins Dr., The Woodlands, TX 77380",www.anadarko.com
203,"EOG Resources, Inc.",233,William R. Thomas,"1111 Bagby St., Houston, TX 77002",www.eogresources.com
204,DISH Network Corporation,189,Joseph P. Clayton,"9601 S. Meridian Blvd., Englewood, CO 80112",www.dish.com
205,Genuine Parts Company,214,Thomas C. Gallagher,"2999 Circle 75 Pkwy., Atlanta, GA 30339",www.genpt.com
206,"Kinder Morgan, Inc.",265,Richard D. Kinder,"1001 Louisiana St., Houston, TX 77002",www.kindermorgan.com
207,"Waste Management, Inc.",200,David P. Steiner,"1001 Fannin St., Houston, TX 77002",www.wm.com
208,The Chubb Corporation,202,John D. Finnegan,"15 Mountain View Rd., Warren, NJ 07059",www.chubb.com
209,Aramark Holdings Corporation,205,Eric J. Foss,"1101 Market St., Philadelphia, PA 19107",www.aramark.com
210,Viacom Inc.,198,Philippe P. Dauman,"1515 Broadway, New York, NY 10036",www.viacom.com
211,Las Vegas Sands Corp.,244,Sheldon G. Adelson,"3355 Las Vegas Blvd. S., Las Vegas, NV 89109",www.sands.com
212,"Dominion Resources, Inc.",210,Thomas F. Farrell II,"120 Tredegar St., Richmond, VA 23219",www.dom.com
213,Ecolab Inc.,229,Douglas M. Baker Jr.,"370 Wabasha St. N., St. Paul, MN 55102",www.ecolab.com
214,"Smithfield Foods, Inc.",213,C. Larry Pope,"200 Commerce St., Smithfield, VA 23430",www.smithfieldfoods.com
215,Thermo Fisher Scientific Inc.,220,Marc N. Casper,"81 Wyman St., Waltham, MA 02451",www.thermofisher.com
216,"Yum! Brands, Inc.",201,David C. Novak,"1441 Gardiner Lane, Louisville, KY 40213",www.yum.com
217,Parker-Hannifin Corporation,211,Donald E. Washkewicz,"6035 Parkland Blvd., Cleveland, OH 44124",www.parker.com
218,"Whole Foods Market, Inc.",232,"John P. Mackey, Walter E. Robb IV","550 Bowie St., Austin, TX 78703",www.wholefoodsmarket.com
219,"Marriott International, Inc.",230,Arne M. Sorenson,"10400 Fernwood Rd., Bethesda, MD 20817",www.marriott.com
220,"C. H. Robinson Worldwide, Inc.",237,John P. Wiehoff,"14701 Charlson Rd., Eden Prairie, MN 55347",www.chrobinson.com
221,"L-3 Communications Holdings, Inc.",197,Michael T. Strianese,"600 Third Ave., New York, NY 10016",www.l-3com.com
222,Edison International,212,Theodore F. Craver Jr.,"2244 Walnut Grove Ave., Rosemead, CA 91770",www.edisoninvestor.com
223,"Toys “R” Us, Inc.",204,Antonio Urcelay,"1 Geoffrey Way, Wayne, NJ 07470",www.toysrusinc.com
224,"Nordstrom, Inc.",227,Blake W. Nordstrom,"1617 Sixth Ave., Seattle, WA 98101",www.nordstrom.com
225,"Consolidated Edison, Inc.",226,John McAvoy,"4 Irving Place, New York, NY 10003",www.conedison.com
226,"Marsh & McLennan Companies, Inc.",228,Daniel S. Glaser,"1166 Ave. of the Americas, New York, NY 10036",www.mmc.com
227,Texas Instruments Incorporated,218,Richard K. Templeton,"12500 TI Blvd., Dallas, TX 75243",www.ti.com
228,Textron Inc.,225,Scott C. Donnelly,"40 Westminster St., Providence, RI 02903",www.textron.com
229,Tenet Healthcare Corporation,269,Trevor Fetter,"1445 Ross Ave., Dallas, TX 75202",www.tenethealth.com
230,DaVita HealthCare Partners Inc.,311,Kent J. Thiry,"2000 16th St., Denver, CO 80202",www.davita.com
231,CSX Corporation,231,Michael J. Ward,"500 Water St., Jacksonville, FL 32202",www.csx.com
232,Lincoln National Corporation,235,Dennis R. Glass,"150 N. Radnor Chester Rd., Radnor, PA 19087",www.lfg.com
233,"Praxair, Inc.",241,Stephen F. Angel,"39 Old Ridgebury Rd., Danbury, CT 06810",www.praxair.com
234,PPL Corporation,224,William H. Spence,"2 N. Ninth St., Allentown, PA 18101",www.pplweb.com
235,"J.C. Penney Company, Inc.",215,Myron E. Ullman III,"6501 Legacy Dr., Plano, TX 75024",www.jcpenney.com
236,"Peter Kiewit Sons’, Inc.",243,Bruce E. Grewcock,"1000 Kiewit Plaza, Omaha, NE 68131",www.kiewit.com
237,Jacobs Engineering Group Inc.,249,Craig L. Martin,"155 N. Lake Ave., Pasadena, CA 91101",www.jacobs.com
238,Visa Inc.,260,Charles W. Scharf,"900 Metro Center Blvd., Foster City, CA 94404",www.corporate.visa.com
239,H.J. Heinz Company,234,Bernardo Hees,"1 PPG Place, Pittsburgh, PA 15222",www.heinz.com
240,"CarMax, Inc.",259,Thomas J. Folliard,"12800 Tuckahoe Creek Pkwy., Richmond, VA 23238",www.carmax.com
241,V.F. Corporation,250,Eric C. Wiseman,"105 Corporate Center Blvd., Greensboro, NC 27408",www.vfc.com
