Rank,Title,Previous Rank,CEO,Address,Website
1,Wal-Mart Stores,1,C. Douglas McMillon,"702 S.W. Eighth St., Bentonville, AR 72716",www.corporate.walmart.com
2,Exxon Mobil,2,Rex W. Tillerson,"5959 Las Colinas Blvd., Irving, TX 75039",www.exxonmobil.com
3,Chevron,3,John S. Watson,"6001 Bollinger Canyon Rd., San Ramon, CA 94583",www.chevron.com
4,Berkshire Hathaway,5,Warren E. Buffett,"3555 Farnam St., Omaha, NE 68131",www.berkshirehathaway.com
5,Apple,6,Timothy D. Cook,"1 Infinite Loop, Cupertino, CA 95014",www.apple.com
6,Phillips 66,4,Greg C. Garland,"3010 Briarpark Dr., Houston, TX 77042",www.phillips66.com
7,General Motors,7,Mary T. Barra,"300 Renaissance Center, Detroit, MI 48265",www.gm.com
8,Ford Motor,10,Alan R. Mulally,"1 American Rd., Dearborn, MI 48126",www.ford.com
9,General Electric,8,Jeffrey R. Immelt,"3135 Easton Turnpike, Fairfield, CT 06828",www.ge.com
10,Valero Energy,9,Joseph Gorder,"1 Valero Way, San Antonio, TX 78249",www.valero.com
11,AT&T,11,Randall L. Stephenson,"208 S. Akard St., Dallas, TX 75202",www.att.com
12,CVS Caremark,13,Larry J. Merlo,"1 CVS Dr., Woonsocket, RI 02895",info.cvscaremark.com
13,Fannie Mae,12,Timothy J. Mayopoulos,"3900 Wisconsin Ave. N.W., Washington, DC 20016",www.fanniemae.com
14,UnitedHealth Group,17,Stephen J. Hemsley,"9900 Bren Rd. E., Minnetonka, MN 55343",www.unitedhealthgroup.com
15,McKesson,14,John H. Hammergren,"1 Post St., San Francisco, CA 94104",www.mckesson.com
16,Verizon Communications,16,Lowell C. McAdam,"140 West St., New York, NY 10007",www.verizon.com
17,Hewlett-Packard,15,Margaret C. Whitman,"3000 Hanover St., Palo Alto, CA 94304",www.hp.com
18,J.P. Morgan Chase & Co.,18,James Dimon,"270 Park Ave., New York, NY 10017",www.jpmorganchase.com
19,Costco Wholesale,22,W. Craig Jelinek,"999 Lake Dr., Issaquah, WA 98027",www.costco.com
20,Express Scripts Holding,24,George Paz,"1 Express Way, St. Louis, MO 63121",www.express-scripts.com
21,Bank of America,21,Brian T. Moynihan,"100 N. Tryon St., Charlotte, NC 28255",www.bankofamerica.com
22,Cardinal Health,19,George S. Barrett,"7000 Cardinal Place, Dublin, OH 43017",www.cardinal.com
23,International Business Machines,20,Virginia M. Rometty,"1 New Orchard Rd., Armonk, NY 10504",www.ibm.com
24,Kroger,23,W. Rodney McMullen,"1014 Vine St., Cincinnati, OH 45202",www.thekrogerco.com
25,Marathon Petroleum,33,Gary R. Heminger,"539 S. Main St., Findlay, OH 45840",www.marathonpetroleum.com
26,Citigroup,26,Michael L. Corbat,"399 Park Ave., New York, NY 10022",www.citigroup.com
27,Archer Daniels Midland,27,Patricia A. Woertz,"4666 Faries Pkwy., Decatur, IL 62526",www.adm.com
28,AmerisourceBergen,32,Steven H. Collis,"1300 Morris Dr., Chesterbrook, PA 19087",www.amerisourcebergen.com
29,Wells Fargo,25,John G. Stumpf,"420 Montgomery St., San Francisco, CA 94163",www.wellsfargo.com
30,Boeing,30,W. James McNerney Jr.,"100 N. Riverside Plaza, Chicago, IL 60606",www.boeing.com
31,Procter & Gamble,28,Alan G. Lafley,"1 Procter & Gamble Plaza, Cincinnati, OH 45202",www.pg.com
32,Freddie Mac,31,Donald H. Layton,"8200 Jones Branch Dr., McLean, VA 22102",www.freddiemac.com
33,Home Depot,34,Francis S. Blake,"2455 Paces Ferry Rd. N.W., Atlanta, GA 30339",www.homedepot.com
34,Microsoft,35,Satya Nadella,"1 Microsoft Way, Redmond, WA 98052",www.microsoft.com
35,Amazon.com,49,Jeffrey P. Bezos,"410 Terry Ave. N., Seattle, WA 98109",www.amazon.com
36,Target,36,"John J. Mulligan, Interim CEO","1000 Nicollet Mall, Minneapolis, MN 55403",www.target.com
37,Walgreen Co.,37,Gregory D. Wasson,"108 Wilmot Rd., Deerfield, IL 60015",www.walgreens.com
38,WellPoint,47,Joseph R. Swedish,"120 Monument Circle, Indianapolis, IN 46204",www.wellpoint.com
39,Johnson & Johnson,41,Alex Gorsky,"1 Johnson & Johnson Plaza, New Brunswick, NJ 08933",www.jnj.com
40,American International Group,38,Robert H. Benmosche,"175 Water St., New York, NY 10038",www.aig.com
41,State Farm Insurance Cos.,44,Edward B. Rust Jr.,"1 State Farm Plaza, Bloomington, IL 61710",www.statefarm.com
42,MetLife,40,Steven A. Kandarian,"200 Park Ave., New York, NY 10166",www.metlife.com
43,PepsiCo,43,Indra K. Nooyi,"700 Anderson Hill Rd., Purchase, NY 10577",www.pepsico.com
44,Comcast,46,Brian L. Roberts,"1 Comcast Center, Philadelphia, PA 19103",www.comcastcorporation.com
45,United Technologies,50,Louis R. Chênevert,"1 Financial Plaza, Hartford, CT 06101",www.utc.com
46,Google,55,Larry Page,"1600 Amphitheatre Pkwy., Mountain View, CA 94043",www.google.com
47,ConocoPhillips,45,Ryan M. Lance,"600 N. Dairy Ashford St. , Houston, TX 77079",www.conocophillips.com
48,Dow Chemical,52,Andrew N. Liveris,"2030 Dow Center, Midland, MI 48674",www.dow.com
49,Caterpillar,42,Douglas R. Oberhelman,"100 N.E. Adams St., Peoria, IL 61629",www.caterpillar.com
50,United Parcel Service,53,D. Scott Davis,"55 Glenlake Pkwy. N.E., Atlanta, GA 30328",www.ups.com
51,Pfizer,48,Ian C. Read,"235 E. 42nd St., New York, NY 10017",www.pfizer.com
52,Lowe’s Companies,56,Robert A. Niblock,"1000 Lowe's Blvd., Mooresville, NC 28117",www.lowes.com
53,Intel Corporation,54,Brian Krzanich,"2200 Mission College Blvd., Santa Clara, CA 95054",www.intel.com
54,"Energy Transfer Equity, L.P.",161,John W. McReynolds,"3738 Oak Lawn Ave., Dallas, TX 75219",www.energytransfer.com
55,"Cisco Systems, Inc.",60,John T. Chambers,"170 W. Tasman Dr., San Jose, CA 95134",www.cisco.com
56,Enterprise Products Partners L.P.,64,Michael A. Creel,"1100 Louisiana St., Houston, TX 77002",www.enterpriseproducts.com
57,Aetna Inc.,84,Mark T. Bertolini,"151 Farmington Ave., Hartford, CT 06156",www.aetna.com
58,The Coca-Cola Company,57,Muhtar Kent,"1 Coca-Cola Plaza, Atlanta, GA 30313",www.coca-colacompany.com
59,Lockheed Martin Corporation,59,Marillyn A. Hewson,"6801 Rockledge Dr., Bethesda, MD 20817",www.lockheedmartin.com
60,"Best Buy Co., Inc.",61,Hubert B. Joly,"7601 Penn Ave. S., Richfield, MN 55423",www.bestbuy.com
61,The Walt Disney Company,66,Robert A. Iger,"500 S. Buena Vista St., Burbank, CA 91521",www.disney.com
62,CHS Inc.,69,Carl M. Casale,"5500 Cenex Dr., Inver Grove Heights, MN 55077",www.chsinc.com
63,Sysco Corporation,65,William J. DeLaney III,"1390 Enclave Pkwy., Houston, TX 77077",www.sysco.com
