Rank,Title,Previous Rank,CEO,Address,Website
56,"Lowe’s Companies, Inc.",54,Robert A. Niblock,"1000 Lowe's Blvd., Mooresville, NC 28117",www.lowes.com
57,The Coca-Cola Company,59,Muhtar Kent,"1 Coca-Cola Plaza, Atlanta, GA 30313",www.coca-colacompany.com
58,"Merck & Co., Inc.",57,Kenneth C. Frazier,"1 Merck Dr., Whitehouse Station, NJ 8889",www.merck.com
59,Lockheed Martin Corporation,58,Marillyn A. Hewson,"6801 Rockledge Dr., Bethesda, MD 20817",www.lockheedmartin.com
60,"Cisco Systems, Inc.",64,John T. Chambers,"170 W. Tasman Dr., San Jose, CA 95134",www.cisco.com
61,"Best Buy Co., Inc.",53,Hubert B. Joly,"7601 Penn Ave. S., Richfield, MN 55423",www.bestbuy.com
62,Safeway Inc.,63,Steven A. Burd,"5918 Stoneridge Mall Rd., Pleasanton, CA 94588",www.safeway.com
63,FedEx Corporation,70,Frederick W. Smith,"942 S. Shady Grove Rd., Memphis, TN 38120",www.fedex.com
64,Enterprise Products Partners L.P.,62,Michael A. Creel,"1100 Louisiana St., Houston, TX 77002",www.enterpriseproducts.com
65,Sysco Corporation,69,William J. DeLaney III,"1390 Enclave Pkwy., Houston, TX 77077",www.sysco.com
66,The Walt Disney Company,66,Robert A. Iger,"500 S. Buena Vista St., Burbank, CA 91521",www.disney.com
67,"Johnson Controls, Inc.",67,Stephen A. Roell,"5757 N. Green Bay Ave., Milwaukee, WI 53209",www.johnsoncontrols.com
68,"The Goldman Sachs Group, Inc.",80,Lloyd C. Blankfein,"200 West St., New York, NY 10282",www.gs.com
69,CHS Inc.,78,Carl M. Casale,"5500 Cenex Dr., Inver Grove Heights, MN 55077",www.chsinc.com
70,Abbott Laboratories,71,Miles D. White,"100 Abbott Park Rd., Abbott Park, IL 60064",www.abbott.com
71,Sears Holdings Corporation,65,Edward S. Lampert,"3333 Beverly Rd., Hoffman Estates, IL 60179",www.searsholdings.com
72,E.I. du Pont de Nemours and Company,72,Ellen J. Kullman,"1007 Market St., Wilmington, DE 19898",www.dupont.com
73,Humana Inc.,79,Bruce D. Broussard,"500 W. Main St., Louisville, KY 40202",www.humana.com
74,World Fuel Services Corporation,85,Michael J. Kasbar,"9800 N.W. 41st St., Miami, FL 33178",www.wfscorp.com
75,Hess Corporation,74,John B. Hess,"1185 Ave.of the Americas, New York, NY 10036",www.hess.com
76,Ingram Micro Inc.,81,-,"1600 E. St. Andrew Place, Santa Ana, CA 92705",www.ingrammicro.com
