Rank,Title,Previous Rank,CEO,Address,Website
1,Exxon Mobil Corporation,2,Rex W. Tillerson,"5959 Las Colinas Blvd., Irving, TX 75039",www.exxonmobil.com
2,"Wal-Mart Stores, Inc.",1,H. Lee Scott Jr.,"702 S.W. Eighth St., Bentonville, AR 72716",www.corporate.walmart.com
3,General Motors Corporation,3,G. Richard Wagoner Jr.,"300 Renaissance Center, Detroit, MI 48265",www.gm.com
4,Chevron Corporation,6,David J. O'Reilly,"6001 Bollinger Canyon Rd., San Ramon, CA 94583",www.chevron.com
5,Ford Motor Company,4,William Clay Ford Jr.,"1 American Rd., Dearborn, MI 48126",www.ford.com
6,ConocoPhillips,7,James J. Mulva,"600 N. Dairy Ashford Rd., Houston, TX 77079",www.conocophillips.com
7,General Electric Company,5,Jeffrey R. Immelt,"3135 Easton Turnpike, Fairfield, CT 6828",www.ge.com
8,"Citigroup, Inc.",8,Charles O. Prince III,"399 Park Ave., New York, NY 10043",www.citigroup.com
9,"American International Group,Inc.",9,Martin J. Sullivan,"70 Pine St., New York, NY 10270",www.aig.com
10,International Business Machines Corporation,10,Samuel J. Palmisano,"New Orchard Rd., Armonk, NY 10504",www.ibm.com
11,Hewlett-Packard Company,11,Mark V. Hurd,"3000 Hanover St., Palo Alto, CA 94304",www.hp.com
12,Bank of America Corporation,18,Kenneth D. Lewis,"100 N. Tryon St., Charlotte, NC 28255",www.bankofamerica.com
13,Berkshire Hathaway Inc.,12,Warren E. Buffett,"1440 Kiewit Plaza, Omaha, NE 68131",www.berkshirehathaway.com
14,"The Home Depot, Inc.",13,Robert L. Nardelli,"2455 Paces Ferry Rd. N.W., Atlanta, GA 30339",www.homedepot.com
15,Valero Energy Corporation,22,William R Klesse,"1 Valero Way, San Antonio, TX 78249",www.valero.com
16,McKesson Corporation,15,John H. Hammergren,"1 Post St., San Francisco, CA 94104",www.mckesson.com
