Rank,Title,Previous Rank,CEO,Address,Website
1,Exxon Mobil Corporation,2,Rex W. Tillerson,"5959 Las Colinas Blvd., Irving, TX 75039",www.exxonmobil.com
2,"Wal-Mart Stores, Inc.",1,Michael T. Duke,"702 S.W. Eighth St., Bentonville, AR 72716",www.corporate.walmart.com
3,Chevron Corporation,3,John S. Watson,"6001 Bollinger Canyon Rd., San Ramon, CA 94583",www.chevron.com
4,ConocoPhillips,4,Ryan M. Lance,"600 N. Dairy Ashford Rd., Houston, TX 77079",www.conocophillips.com
5,General Motors Company,8,Daniel F. Akerson,"300 Renaissance Center, Detroit, MI 48265",www.gm.com
6,General Electric Company,6,Jeffrey R. Immelt,"3135 Easton Turnpike, Fairfield, CT 6828",www.ge.com
7,Berkshire Hathaway Inc.,7,Warren E. Buffett,"3555 Farnam St., Omaha, NE 68131",www.berkshirehathaway.com
8,Fannie Mae,5,Michael J. Williams,"3900 Wisconsin Ave. N.W., Washington, DC 20016",www.fanniemae.com
9,Ford Motor Company,10,Alan R. Mulally,"1 American Rd., Dearborn, MI 48126",www.ford.com
10,Hewlett-Packard Company,11,Margaret C. Whitman,"3000 Hanover St., Palo Alto, CA 94304",www.hp.com
11,AT&T Inc.,12,Randall L. Stephenson,"208 S. Akard St., Dallas, TX 75202",www.att.com
12,Valero Energy Corporation,24,William R. Klesse,"1 Valero Way, San Antonio, TX 78249",www.valero.com
13,Bank of America Corporation,9,Brian T. Moynihan,"100 N. Tryon St., Charlotte, NC 28255",www.bankofamerica.com
14,McKesson Corporation,15,John H. Hammergren,"1 Post St., San Francisco, CA 94104",www.mckesson.com
15,Verizon Communications Inc.,16,Lowell C. McAdam,"140 West St., New York, NY 10007",www.verizon.com
16,J.P. Morgan Chase & Co.,13,James Dimon,"270 Park Ave., New York, NY 10017",www.jpmorganchase.com
17,"Apple, Inc.",35,Timothy D. Cook,"1 Infinite Loop, Cupertino, CA 95014",www.apple.com
18,CVS Caremark Corporation,21,Larry J. Merlo,"1 CVS Dr., Woonsocket, RI 2895",info.cvscaremark.com
19,International Business Machines Corporation,18,Virginia M. Rometty,"1 New Orchard Rd., Armonk, NY 10504",www.ibm.com
20,Citigroup Inc.,14,Vikram S. Pandit,"399 Park Ave., New York, NY 10022",www.citigroup.com
21,"Cardinal Health, Inc.",19,George S. Barrett,"7000 Cardinal Place, Dublin, OH 43017",www.cardinal.com
22,UnitedHealth Group Incorporated,22,Stephen J. Hemsley,"9900 Bren Rd. E., Minnetonka, MN 55343",www.unitedhealthgroup.com
23,The Kroger Company,25,David B. Dillon,"1014 Vine St., Cincinnati, OH 45202",www.thekrogerco.com
24,Costco Wholesale Corporation,28,W. Craig Jelinek,"999 Lake Dr., Issaquah, WA 98027",www.costco.com
25,Freddie Mac,20,Charles E. Haldeman Jr.,"8200 Jones Branch Dr., McLean, VA 22102",www.freddiemac.com
26,Wells Fargo & Company,23,John G. Stumpf,"420 Montgomery St., San Francisco, CA 94163",www.wellsfargo.com
27,The Procter & Gamble Company,26,Robert A. McDonald,"1 Procter & Gamble Plaza, Cincinnati, OH 45202",www.pg.com
28,Archer-Daniels-Midland Company,39,Patricia A. Woertz,"4666 Faries Pkwy., Decatur, IL 62525",www.adm.com
29,AmerisourceBergen Corp.,27,Steven H. Collis,"1300 Morris Dr., Chesterbrook, PA 19087",www.amerisourcebergen.com
30,INTL FCStone Inc.,51,Sean M. O'Connor,"708 Third Ave., New York, NY 10017",www.intlfcstone.com
31,Marathon Petroleum Corporation,-,Gary R. Heminger,"539 S. Main St., Findlay, OH 45840",www.marathonpetroleum.com
32,Walgreen Co.,32,Gregory D. Wasson,"108 Wilmot Rd., Deerfield, IL 60015",www.walgreens.com
33,"American International Group,Inc.",17,Robert H. Benmosche,"180 Maiden Lane, New York, NY 10038",www.aig.com
34,"MetLife, Inc.",46,Steven A. Kandarian,"200 Park Ave., New York, NY 10166",www.metlife.com
35,"The Home Depot, Inc.",30,Francis S. Blake,"2455 Paces Ferry Rd. N.W., Atlanta, GA 30339",www.homedepot.com
