Rank,Title,Previous Rank,CEO,Address,Website
1,"Wal-Mart Stores, Inc.",1,H. Lee Scott Jr.,"702 S.W. Eighth St., Bentonville, AR 72716",www.corporate.walmart.com
2,Exxon Mobil Corporation,3,Lee R. Raymond,"5959 Las Colinas Blvd., Irving, TX 75039",www.exxonmobil.com
3,General Motors Corporation,2,G. Richard Wagoner Jr.,"300 Renaissance Center, Detroit, MI 48265",www.gm.com
4,Ford Motor Company,4,William Clay Ford Jr.,"1 American Rd., Dearborn, MI 48126",www.ford.com
5,General Electric Company,5,Jeffrey R. Immelt,"3135 Easton Turnpike, Fairfield, CT 6828",www.ge.com
6,ChevronTexaco Corporation,7,-,"6001 Bollinger Canyon Rd., San Ramon, CA 94583",www.chevron.com
7,ConocoPhillips,12,James J. Mulva,"600 N. Dairy Ashford Rd., Houston, TX 77079",www.conocophillips.com
8,"Citigroup, Inc.",6,Charles O. Prince III,"399 Park Ave., New York, NY 10043",www.citigroup.com
9,International Business Machines Corporation,8,Samuel J. Palmisano,"New Orchard Rd., Armonk, NY 10504",www.ibm.com
10,"American International Group,Inc.",9,Maurice R. Greenberg,"70 Pine St., New York, NY 10270",www.aig.com
11,Hewlett-Packard Company,14,Carleton S. Fiorina,"3000 Hanover St., Palo Alto, CA 94304",www.hp.com
12,Verizon Communications Inc.,10,Ivan G. Seidenberg,"1095 Sixth Ave., New York, NY 10036",www.verizon.com
13,"The Home Depot, Inc.",13,Robert L. Nardelli,"2455 Paces Ferry Rd. N.W., Atlanta, GA 30339",www.homedepot.com
14,Berkshire Hathaway Inc.,28,Warren E. Buffett,"1440 Kiewit Plaza, Omaha, NE 68131",www.berkshirehathaway.com
15,"Altria Group, Inc.",11,Louis C. Camilleri,"120 Park Ave., New York, NY 10017",www.altria.com
16,McKesson Corporation,20,John H. Hammergren,"1 Post St., San Francisco, CA 94104",www.mckesson.com
17,"Cardinal Health, Inc.",19,Robert D. Walter,"7000 Cardinal Place, Dublin, OH 43017",www.cardinal.com
18,State Farm Insurance Cos.,21,Edward B. Rust Jr.,"1 State Farm Plaza, Bloomington, IL 61710",www.statefarm.com
19,The Kroger Company,18,David B. Dillon,"1014 Vine St., Cincinnati, OH 45201",www.thekrogerco.com
20,Fannie Mae,16,Franklin D. Raines,"3900 Wisconsin Ave. N.W., Washington, DC 20016",www.fanniemae.com
21,The Boeing Company,15,Harry Stonecipher,"100 N. Riverside Plaza, Chicago, IL 60606",www.boeing.com
22,AmerisourceBergen Corp.,24,R. David Yost,"1300 Morris Dr., Chesterbrook, PA 19087",www.amerisourcebergen.com
23,Target Corporation,25,Robert J. Ulrich,"1000 Nicollet Mall, Minneapolis, MN 55403",www.target.com
