ranking,full name,ceo,sector,industry,hq location,hq address,website
1,"Wal-Mart Stores, Inc.",C. Douglas McMillon,Retailing,General Merchandisers,"Bentonville, AR",702 S.W. Eighth St.,http://www.walmart.com
2,Exxon Mobil Corporation,Darren W. Woods,Energy,Petroleum Refining,"Irving, TX",5959 Las Colinas Blvd.,http://www.exxonmobil.com
3,"Apple, Inc.",Timothy D. Cook,Technology,"Computers, Office Equipment","Cupertino, CA",1 Infinite Loop,http://www.apple.com
4,Berkshire Hathaway Inc.,Warren E. Buffett,Financials,Insurance: Property and Casualty (Stock),"Omaha, NE",3555 Farnam St.,http://www.berkshirehathaway.com
5,McKesson Corporation,John H. Hammergren,Health Care,Wholesalers: Health Care,"San Francisco, CA",1 Post St.,http://www.mckesson.com
6,UnitedHealth Group Incorporated,Stephen J. Hemsley,Health Care,Health Care: Insurance and Managed Care,"Minnetonka, MN",9900 Bren Rd. E.,http://www.unitedhealthgroup.com
7,CVS Health Corporation,Larry J. Merlo,Food and Drug Stores,Food and Drug Stores,"Woonsocket, RI",1 CVS Dr.,http://www.cvshealth.com
8,General Motors Company,Mary T. Barra,Motor Vehicles & Parts,Motor Vehicles and Parts,"Detroit, MI",300 Renaissance Center,http://www.gm.com
9,Ford Motor Company,Mark Fields,Motor Vehicles & Parts,Motor Vehicles and Parts,"Dearborn, MI",1 American Rd.,http://www.ford.com
10,AT&T Inc.,Randall L. Stephenson,Telecommunications,Telecommunications,"Dallas, TX",208 S. Akard St.,http://www.att.com
11,General Electric Company,Jeffrey R. Immelt,Industrials,Industrial Machinery,"Fairfield, CT",3135 Easton Turnpike,http://www.ge.com
12,AmerisourceBergen Corp.,Steven H. Collis,Health Care,Wholesalers: Health Care,"Chesterbrook, PA",1300 Morris Dr.,http://www.amerisourcebergen.com
13,Verizon Communications Inc.,Lowell C. McAdam,Telecommunications,Telecommunications,"New York, NY",1095 Ave. of the Americas,http://www.verizon.com
14,Chevron Corporation,John S. Watson,Energy,Petroleum Refining,"San Ramon, CA",6001 Bollinger Canyon Rd.,http://www.chevron.com
15,Costco Wholesale Corporation,W. Craig Jelinek,Retailing,Specialty Retailers: Other,"Issaquah, WA",999 Lake Dr.,http://www.costco.com
16,Fannie Mae,Timothy J. Mayopoulos,Financials,Diversified Financials,"Washington, DC",3900 Wisconsin Ave. N.W.,http://www.fanniemae.com
17,The Kroger Company,W. Rodney McMullen,Food and Drug Stores,Food and Drug Stores,"Cincinnati, OH",1014 Vine St.,http://www.thekrogerco.com
18,"Amazon.com, Inc.",Jeffrey P. Bezos,Technology,Internet Services and Retailing,"Seattle, WA",410 Terry Ave. N.,http://www.amazon.com
19,"Walgreens Boots Alliance, Inc",Stefano Pessina,Food and Drug Stores,Food and Drug Stores,"Deerfield, IL",108 Wilmot Rd.,http://www.walgreensbootsalliance.com
20,HP Inc.,Dion J. Weisler,Technology,"Computers, Office Equipment","Palo Alto, CA",1501 Page Mill Rd.,http://www.hp.com
21,"Cardinal Health, Inc.",George S. Barrett,Health Care,Wholesalers: Health Care,"Dublin, OH",7000 Cardinal Place,http://www.cardinalhealth.com
22,Express Scripts Holding Company,Timothy C. Wentworth,Health Care,Health Care: Pharmacy and Other Services,"St. Louis, MO",1 Express Way,http://www.express-scripts.com
