Rank,Title,Previous Rank,CEO,Address,Website
1,"Wal-Mart Stores, Inc.",1,H. Lee Scott Jr.,"702 S.W. Eighth St., Bentonville, AR 72716",www.corporate.walmart.com
2,Exxon Mobil Corporation,2,Lee R. Raymond,"5959 Las Colinas Blvd., Irving, TX 75039",www.exxonmobil.com
3,General Motors Corporation,3,G. Richard Wagoner Jr.,"300 Renaissance Center, Detroit, MI 48265",www.gm.com
4,Ford Motor Company,4,William Clay Ford Jr.,"1 American Rd., Dearborn, MI 48126",www.ford.com
5,General Electric Company,5,Jeffrey R. Immelt,"3135 Easton Turnpike, Fairfield, CT 6828",www.ge.com
6,ChevronTexaco Corporation,6,-,"6001 Bollinger Canyon Rd., San Ramon, CA 94583",www.chevron.com
7,ConocoPhillips,7,James J. Mulva,"600 N. Dairy Ashford Rd., Houston, TX 77079",www.conocophillips.com
8,"Citigroup, Inc.",8,Charles O. Prince III,"399 Park Ave., New York, NY 10043",www.citigroup.com
9,"American International Group,Inc.",10,Martin J. Sullivan,"70 Pine St., New York, NY 10270",www.aig.com
10,International Business Machines Corporation,9,Samuel J. Palmisano,"New Orchard Rd., Armonk, NY 10504",www.ibm.com
11,Hewlett-Packard Company,11,Mark V. Hurd,"3000 Hanover St., Palo Alto, CA 94304",www.hp.com
12,Berkshire Hathaway Inc.,14,Warren E. Buffett,"1440 Kiewit Plaza, Omaha, NE 68131",www.berkshirehathaway.com
13,"The Home Depot, Inc.",13,Robert L. Nardelli,"2455 Paces Ferry Rd. N.W., Atlanta, GA 30339",www.homedepot.com
14,Verizon Communications Inc.,12,Ivan G. Seidenberg,"1095 Sixth Ave., New York, NY 10036",www.verizon.com
15,McKesson Corporation,16,John H. Hammergren,"1 Post St., San Francisco, CA 94104",www.mckesson.com
16,"Cardinal Health, Inc.",17,Robert D. Walter,"7000 Cardinal Place, Dublin, OH 43017",www.cardinal.com
17,"Altria Group, Inc.",15,Louis C. Camilleri,"120 Park Ave., New York, NY 10017",www.altria.com
18,Bank of America Corporation,24,Kenneth D. Lewis,"100 N. Tryon St., Charlotte, NC 28255",www.bankofamerica.com
19,State Farm Insurance Cos.,18,Edward B. Rust Jr.,"1 State Farm Plaza, Bloomington, IL 61710",www.statefarm.com
20,J.P. Morgan Chase & Co.,26,William B. Harrison Jr.,"270 Park Ave., New York, NY 10017",www.jpmorganchase.com
21,The Kroger Company,19,David B. Dillon,"1014 Vine St., Cincinnati, OH 45202",www.thekrogerco.com
22,Valero Energy Corporation,34,William E. Greehey,"1 Valero Way, San Antonio, TX 78249",www.valero.com
23,AmerisourceBergen Corp.,22,R. David Yost,"1300 Morris Dr., Chesterbrook, PA 19087",www.amerisourcebergen.com
24,Pfizer Inc.,25,Henry A. McKinnell Jr.,"235 E. 42nd St., New York, NY 10017",www.pfizer.com
25,Boeing,21,James A. Bell,"100 N. Riverside Plaza, Chicago, IL 60606",www.boeing.com
26,The Procter & Gamble Company,28,Alan G. Lafley,"1 Procter & Gamble Plaza, Cincinnati, OH 45202",www.pg.com
27,Target Corporation,23,Robert J. Ulrich,"1000 Nicollet Mall, Minneapolis, MN 55403",www.target.com
